longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
85.9463626098634,22.385639434165142,,1.7585396108188434e-06
85.9463626098634,22.50652422803514,2.9838618502253667e-05,7.899302545411047e-06
85.9463626098634,22.62740902190513,3.510780516080558e-05,
85.9463626098634,22.748293815775124,1.6141771993716247e-05,4.731090484710876e-06
85.9463626098634,22.86917860964512,9.928576218953822e-06,1.1536511010490358e-05
85.9463626098634,22.990063403515112,2.4462362489430237e-05,1.855717709986493e-05
85.9463626098634,23.110948197385103,4.018406980321743e-05,
85.9463626098634,23.231832991255096,,1.3696394489670638e-05
85.9463626098634,23.35271778512509,1.9800057998509143e-05,1.026105474011274e-05
85.9463626098634,23.473602578995084,1.6835081623867154e-05,-3.451776251495176e-07
85.9463626098634,23.594487372865075,2.370995207456872e-05,
85.9463626098634,23.71537216673507,2.3509777747676708e-05,4.818299657927128e-06
85.9463626098634,23.836256960605063,1.1525540685397573e-05,
85.9463626098634,23.957141754475053,2.0228450011927634e-05,-5.9833428167621605e-06
85.9463626098634,24.078026548345047,2.9253712909849128e-06,
85.9463626098634,24.19891134221504,,
85.9463626098634,24.319796136085035,1.679333217907697e-05,1.1263412488915492e-05
85.9463626098634,24.440680929955025,3.272259345976636e-05,
85.9463626098634,24.56156572382502,1.655881897022482e-05,9.18050227483036e-06
85.9463626098634,24.682450517695013,2.9117547455825843e-05,1.0421908882563002e-05
85.9463626098634,24.803335311565007,1.7701255274005234e-05,1.363965384371113e-05
85.9463626098634,24.924220105435,2.3875521947047677e-05,6.787753591197543e-06
85.9463626098634,25.04510489930499,1.578679439262487e-05,9.466601113672368e-06
85.9463626098634,25.165989693174986,6.938571914361091e-06,1.6314499589498155e-05
85.9463626098634,25.286874487044976,4.207630627206527e-05,2.5335917598567903e-05
85.9463626098634,25.40775928091497,9.551987204758916e-06,1.4410063158720732e-05
85.9463626098634,25.528644074784964,3.416787149035372e-05,1.255843017133884e-05
85.9463626098634,25.649528868654954,,
85.9463626098634,25.77041366252495,1.5925206753308885e-05,
85.9463626098634,25.891298456394946,1.444235476810718e-05,
85.9463626098634,26.012183250264936,2.457678783684969e-05,2.039212267845869e-05
85.9463626098634,26.13306804413493,1.669083212618716e-05,2.094023511745036e-05
85.9463626098634,26.25395283800492,2.288551149831619e-05,9.470543773204554e-06
85.9463626098634,26.374837631874914,,-2.727243099798216e-06
85.9463626098634,26.49572242574491,,3.83809447157546e-06
85.9463626098634,26.6166072196149,1.2486391824495511e-05,
85.9463626098634,26.737492013484893,2.0672972823376767e-05,1.5976480426616035e-05
85.9463626098634,26.858376807354887,1.922457340697292e-05,8.488674211548641e-06
85.9463626098634,26.97926160122488,6.784895958844572e-06,
85.9463626098634,27.10014639509487,1.2047761629219169e-05,7.078010639816057e-06
85.9463626098634,27.221031188964865,7.948113307065796e-06,3.9612383261555806e-05
86.0663626098634,21.539445877075195,,2.3260679881786928e-05
86.0663626098634,21.66033067094519,3.0641051580460044e-06,1.4802408259129152e-05
86.0663626098634,21.78121546481518,,1.5762758266646415e-05
86.0663626098634,21.902100258685174,4.599029853125103e-05,9.789285286387894e-06
86.0663626098634,22.022985052555168,2.4129367375280708e-05,
86.0663626098634,22.14386984642516,1.1836761586891951e-05,1.7528410580780474e-06
86.0663626098634,22.264754640295152,3.981045665568672e-05,
86.0663626098634,22.385639434165142,2.746222708083224e-05,1.3559910257754382e-05
86.0663626098634,22.50652422803514,,
86.0663626098634,22.62740902190513,,
86.0663626098634,22.748293815775124,,8.277821507363115e-06
86.0663626098634,22.86917860964512,2.559004860813729e-05,2.682939521037042e-05
86.0663626098634,22.990063403515112,5.683306881110184e-05,1.0572691280685833e-05
86.0663626098634,23.110948197385103,,2.610930459923111e-05
86.0663626098634,23.231832991255096,4.742237797472626e-05,-4.812371116713621e-06
86.0663626098634,23.35271778512509,2.3386093744193204e-05,
86.0663626098634,23.473602578995084,2.5468274543527517e-05,3.907537393388338e-05
86.0663626098634,23.594487372865075,,
86.0663626098634,23.71537216673507,1.188975693366956e-05,6.5396238824178e-06
86.0663626098634,23.836256960605063,1.0774058864626568e-05,
86.0663626098634,23.957141754475053,,1.6474692529300228e-05
86.0663626098634,24.078026548345047,,-1.037614401866449e-05
86.0663626098634,24.19891134221504,,8.530476407031529e-06
86.0663626098634,24.319796136085035,,4.353443000582047e-05
86.0663626098634,24.440680929955025,2.4679369744262655e-05,
86.0663626098634,24.56156572382502,2.907511770899873e-05,1.6041130947996862e-05
86.0663626098634,24.682450517695013,,1.3697100257559214e-05
86.0663626098634,24.803335311565007,1.9077422621194277e-05,
86.0663626098634,24.924220105435,,1.2736328244500328e-05
86.0663626098634,25.04510489930499,,
86.0663626098634,25.165989693174986,,1.180401068268111e-05
86.0663626098634,25.286874487044976,,4.714597707788926e-06
