longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.161,28.482,4.707908010459505e-05,,,0.0001102728565456,2.163046519854106e-05,,,1.5689307474531233e-05,,6.767598733858904e-06,,1.1355074093444271e-05,1.6409014278906398e-05,0.0002528741897549,6.284019491431536e-06
77.171,28.482,1.316381894866936e-05,,,,,,,2.975164170493372e-05,,7.77254444983555e-06,,1.2222465556988029e-05,2.9779768738080747e-05,8.719316247152165e-05,2.329000562895089e-05
77.181,28.482,3.569338787201559e-06,,,7.317266408790601e-06,1.5294450349756517e-05,,,,,-1.0805346391862258e-05,,-1.5346428199336517e-06,2.84632847069588e-06,1.9084758605458774e-05,7.653226020920556e-06
77.192,28.482,0.0001258805859833,,,2.678183591342531e-06,,,,1.4253674635256177e-05,,4.999925749871181e-06,,1.0460728390171423e-06,9.814143595576752e-06,0.0001357345172436,1.3033163668296766e-05
77.202,28.482,5.166468326933682e-06,,,1.98630295926705e-05,2.747096550592687e-05,,,,,1.8300259398529303e-05,,9.041336852533275e-06,4.863320555159589e-06,0.0002340666542295,7.586647552670911e-05
77.213,28.482,1.1053543857997283e-05,,,0.0002552855876274,,,,,,7.638433999090921e-06,,2.8188974283693824e-06,5.168855295778485e-06,0.0001028187689371,2.596227386675309e-05
77.223,28.482,1.6345193216693588e-05,,,6.951540854061022e-05,,3.279120574006811e-05,,2.388116627116688e-05,,3.6697238101623952e-06,,4.202554919174872e-06,9.004488674690947e-07,0.0002728987019509,1.6257676179520786e-05
77.233,28.482,2.493205465725623e-05,,,0.0003085489443037,,2.9968527087476104e-05,,,,1.6242731362581253e-05,,6.080605089664459e-06,2.1857018509763293e-05,1.7543085050419904e-05,4.340678970038425e-06
77.244,28.482,2.9243558401503837e-06,,,,,,,,,9.93571666185744e-06,,4.308510597184068e-06,3.0756218620808795e-05,0.0001825507788453,6.950179522391409e-05
77.129,28.492,,,,,,,,,,-4.464949654447992e-08,,2.3197851533041103e-06,1.1887408618349582e-05,2.5190844098688103e-05,0.0001286483457079
77.14,28.492,1.0246273632219529e-05,,,0.0003270733286626,1.9013401470147077e-05,,,2.771019535430241e-05,,-3.7004397768214403e-07,,-1.352722165393061e-07,6.433484031731496e-06,0.0005272973212413,0.0002164376055588
77.15,28.492,-7.036838269414147e-06,,,9.113901614909992e-05,,4.097677083336748e-05,,,,-1.5403412589876098e-06,,1.4735187505721116e-05,2.84632847069588e-06,0.000143628931255,0.0001251559442607
77.161,28.492,7.707722602390277e-07,,,,2.2009853637428023e-05,,,,,2.0392400983837437e-05,,5.263475941319484e-06,1.04706414276734e-05,0.0004068770795129,0.000312967255013
77.171,28.492,2.1346369976527058e-05,,,6.0723887145286426e-05,,3.1320701964432374e-05,,,,3.390797019164893e-06,,-2.7102927901978543e-08,-2.7963716675571962e-08,2.2827473003417253e-05,1.014220470096916e-05
