longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.192,28.453,8.768764928390738e-06,2.773263986455277e-05,6.625094101764262e-06,6.630278e-05,6.894800026202574e-05,,8.88342947291676e-06,-8.408675967075396e-06,-2.60342476394726e-05,4.508631172939204e-05,5.433606474980479e-06,1.267764764634194e-05,-1.3636571e-07,2.8641525204875503e-05
77.202,28.453,5.2246363679842034e-08,3.477397694950923e-05,-9.063985544344176e-07,2.876046e-05,6.894800026202574e-05,,6.709500439683325e-07,-1.3210257748141885e-05,-3.1333409424405545e-05,4.302649176679552e-05,-9.85270389719517e-07,2.383413175266469e-06,-3.1963164e-06,2.8565576940309256e-05
77.213,28.453,,2.2386426280718297e-05,5.2453880925895646e-05,1.5110313e-05,,-5.096002041682368e-06,1.4093687241256704e-05,-6.614790891035227e-06,3.632369271144853e-06,9.23626939766109e-05,8.719252946320921e-06,1.1414070968385204e-06,0.0001232746,
77.223,28.453,3.056424611713737e-05,2.47969692281913e-05,4.612166958395392e-05,2.2204544e-05,,,3.666703560156748e-05,-9.842119652603287e-06,-9.336970833828673e-06,5.586074985330925e-05,5.875064744031988e-06,4.534580511972308e-06,-2.9658113e-06,3.6375353374751285e-05
77.233,28.453,6.239490903681144e-05,6.79613440297544e-05,4.067781446792651e-06,1.7683642e-05,6.894800026202574e-05,1.7338956240564585e-05,2.250287252536509e-05,-9.763486559677403e-06,-2.0523151761153716e-05,2.6846073524211533e-05,4.886800070380559e-06,-1.0305834621249232e-05,4.1202024e-06,2.210251841461286e-05
77.119,28.463,1.5970124877640046e-05,0.0001163183333119,7.054580919430009e-07,5.553057e-05,,,6.390007911249995e-06,-4.681986865762156e-06,-3.2142703275894746e-05,1.783770858310163e-05,4.037383860122645e-06,1.6886560842976905e-05,1.6796917e-05,5.711429912480526e-05
77.129,28.463,2.250616489618551e-06,4.009177428088151e-05,-9.489646117799566e-07,1.07588085e-05,0.0001167774607893,2.3909318770165555e-05,2.095951458613854e-05,-9.824338121688925e-06,-1.4087585441302508e-05,3.961695256293751e-05,-2.487580559318303e-06,4.08927007811144e-06,0.000112181086,2.6061141397804025e-05
77.14,28.463,4.060487117385492e-05,6.319246313069016e-05,3.683693421407952e-06,2.0933876e-05,0.0001544523402117,9.711074199003631e-06,1.0878175089601427e-05,-4.100841579202097e-06,-1.983197216759436e-05,9.460212459089234e-05,2.648876261446276e-06,-3.361581775607192e-06,7.842101e-06,2.600106927275192e-05
77.15,28.463,5.546067404793576e-05,2.376884367549792e-05,8.572494698455557e-05,2.1769947e-05,,,5.00787109558587e-07,,-1.1959333278355189e-05,3.225274122087285e-05,2.157858716600458e-06,8.210283340304159e-06,3.7573136e-05,2.393573959125206e-05
77.161,28.463,-2.0813884304971003e-07,2.2369194994098507e-05,2.5142480808426623e-05,2.9798604e-05,3.7271536257321713e-06,,-2.129739186784718e-06,-5.28652253706241e-06,-2.806585325743072e-05,3.412207661313005e-05,-3.549531129465322e-06,2.1653731892001812e-05,0.000161075,2.0944744392181747e-05
77.171,28.463,3.862208905047737e-05,,4.681199698097771e-06,1.668002e-05,3.7271536257321713e-06,2.4512160052836407e-06,3.916559762728866e-06,-1.2071094715793151e-05,-3.227631896152161e-05,5.8958379668183625e-05,5.705064268113347e-06,1.207730565511156e-05,7.9906764e-05,1.7457467038184404e-05
77.181,28.463,1.0377906619396526e-05,9.549849346512929e-05,5.093722847959725e-06,1.5314585e-05,0.0001732865639496,,1.3699295777769294e-05,-9.763486559677403e-06,-1.971702113223728e-05,,2.360174676141469e-06,1.558359326736536e-05,1.897152e-05,1.866046841314528e-05
77.192,28.463,2.494912587280851e-05,3.196243051206693e-05,1.840132063080091e-05,2.2380225e-05,,,7.266778084158432e-06,-9.842119652603287e-06,-2.1157695300644264e-05,8.614714170107618e-05,-2.0301483800722053e-06,1.2095058991690166e-05,3.838765e-05,3.954164640163072e-05
77.202,28.463,9.91783308563754e-05,2.3642231099074703e-05,2.0682133254013024e-05,1.0807145e-05,3.7271536257321713e-06,,6.6408038037479855e-06,,-2.2002514015184715e-05,,1.552804133098107e-05,7.501991603930946e-06,-2.9658113e-06,3.77395554096438e-05
77.213,28.463,7.050615386106074e-05,,6.63011524011381e-05,2.0215299e-05,3.7271536257321713e-06,5.194394816498971e-06,2.3079337552189827e-05,-2.3846117983339354e-05,-7.1413965088140685e-06,2.7720703656086695e-05,9.052789209818002e-06,9.192764082399664e-06,4.1202024e-06,2.5809506041696292e-05
77.223,28.463,0.0001012115171761,2.773263986455277e-05,3.3181906928803077e-06,1.2554085e-05,3.7271536257321713e-06,,1.2172387869213708e-05,-9.666957339504734e-06,-6.768539151380537e-06,3.728406591108069e-05,2.1017967810621485e-06,1.752903699525632e-05,4.2249692e-05,2.896842852351256e-05
77.119,28.473,1.3744265743298456e-05,,4.704555067291949e-06,8.751787e-06,,,9.119627975451294e-06,-5.28652253706241e-06,-2.294968544447329e-05,6.027472409186885e-05,9.450270226807334e-06,1.752129173837602e-05,-2.5392997e-06,1.8436308891978115e-05
77.129,28.473,-1.086916881831712e-06,3.519136589602567e-05,4.087333309144015e-06,0.00058174017,,,-1.729289010654611e-06,,-1.1959333278355189e-05,,2.3633551791135687e-06,-4.400584430186427e-07,0.00013752178,2.010655589401722e-05
77.14,28.473,9.79945616563782e-05,4.683965016738512e-05,7.039323463686742e-06,0.00023238831,,,1.3937585208623204e-05,-7.052963610476581e-06,-2.806585325743072e-05,,5.705064268113347e-06,-3.09534402731515e-06,2.3795583e-05,2.4772018150542863e-05
77.15,28.473,8.155800605891272e-05,0.0001347587676718,-7.2190796345239505e-06,1.9321587e-05,,,8.368348062504083e-06,-1.3589450645667966e-05,-1.9139388314215462e-06,4.497341797105037e-05,2.360174676141469e-06,1.50109126479947e-05,5.5361324e-06,2.1989269953337495e-05
77.161,28.473,0.0001019081100821,3.66698695870582e-05,3.715902130352333e-05,8.7396504e-05,3.502716208458878e-05,,3.867349278152688e-06,-2.0387256881804205e-05,-1.1039749551855492e-05,,3.82264352083439e-06,7.376286703220103e-06,-3.1963164e-06,1.6975203834590502e-05
77.171,28.473,9.909615982905962e-06,2.303959627170116e-05,-7.424497198371682e-06,2.8184813e-05,3.502716208458878e-05,,1.211457492900081e-05,,-2.7002319257007912e-05,3.744860441656783e-05,-8.360559036191262e-07,-1.251627236342756e-05,9.715826e-07,2.7214508008910343e-05
77.181,28.473,2.668714114406612e-05,2.376884367549792e-05,0.0001305785699514,1.2781299e-05,3.502716208458878e-05,,-7.514174285461195e-06,-1.2177958524262069e-05,-1.8582481061457656e-05,3.961695256293751e-05,9.052789209818002e-06,1.2529725609056186e-05,9.71088e-05,2.22980397666106e-05
77.192,28.473,4.211552004562691e-05,4.802976400242187e-05,4.775790330313612e-06,6.7549345e-06,,,3.523808445038412e-08,,-3.928854857804254e-05,,6.296023002505535e-06,6.549820227519376e-06,0.0001777716,1.8233733499073423e-05
77.202,28.473,3.116576044703834e-05,2.5114952222793363e-05,3.0488390621030703e-06,2.6181282e-05,,,1.379407876811456e-05,-1.5558138329652138e-05,-6.768539151380537e-06,3.444815592956729e-05,-2.896937985497061e-06,1.7069753084797412e-05,0.0001596474,2.4275504983961586e-05
77.213,28.473,2.358470555918757e-05,3.027781713171862e-05,2.52418340096483e-05,1.3186523e-05,,,1.2726545719488058e-05,-3.1951997243595542e-06,-2.9127910238457844e-05,2.1845102310180664e-05,4.315919795772061e-06,-2.284789388795616e-06,0.00018394562,2.7864545700140297e-05
77.223,28.473,7.835221185814589e-05,1.9707391402334903e-05,8.974843512987718e-05,1.9310213e-05,0.0002909701433964,,8.53237543196883e-06,-5.111549853609176e-06,-2.4691073122085072e-05,3.225274122087285e-05,-2.411994501017034e-06,1.2334416169323958e-05,3.6212416e-05,3.954164640163072e-05
77.233,28.473,4.20757060055621e-05,2.3266869902727198e-05,1.0252037100144662e-05,1.5754273e-05,,,5.6207131819974165e-06,,-3.679276233015116e-06,8.022335532587022e-05,-3.934579581255093e-06,9.138942914432846e-06,1.2930426e-06,2.1288809875841253e-05
77.119,28.482,-3.364192252774956e-06,4.767948485095985e-05,-1.1432383871579075e-05,1.3331289e-05,,,1.3937585208623204e-05,-1.3210257748141885e-05,-2.806585325743072e-05,6.464952457463369e-05,8.719252946320921e-06,1.7435604604543187e-05,2.5596248e-05,3.315110370749608e-05
77.129,28.482,7.709215424256399e-05,5.333831359166652e-05,0.000183723605005,2.1748716e-05,,-1.3564086032147318e-07,4.365999757283134e-06,-5.585427061305381e-06,-3.227631896152161e-05,2.370225229242351e-05,1.4919224668119568e-05,1.17549634524039e-05,1.8469698e-05,1.474539931223262e-05
77.14,28.482,0.0001643513824092,4.11054861615412e-05,1.2448656434571603e-06,3.078783e-05,,3.1197447242448106e-05,6.08629989073961e-06,-9.666957339504734e-06,-2.4353254048037343e-05,3.765698056668043e-05,-3.605388883443084e-06,-6.250937076401897e-06,2.1065374e-05,4.090788206667639e-05
77.15,28.482,7.128486322471872e-05,5.164520916878246e-05,6.753656123237306e-08,1.9907948e-05,4.919901584798936e-06,,1.211457492900081e-05,-4.891351181868231e-06,-2.7002319257007912e-05,4.118522338103503e-05,-1.0065996320918202e-05,-2.3247714580065804e-06,1.897152e-05,1.955611696757842e-05
77.161,28.482,3.803480649366975e-05,3.61138918378856e-05,3.2723901313147508e-06,1.2877202e-05,0.0002435925562167,2.7822361516882665e-05,1.3272804608277513e-05,,-1.8582481061457656e-05,4.458555486053229e-05,5.022115146857686e-06,1.1033795999537688e-05,0.0001232746,1.7013173419400118e-05
77.171,28.482,7.935143366921693e-05,3.519136589602567e-05,4.702546902990434e-06,3.3318404e-06,0.0002435925562167,,5.480863478624087e-07,-9.357425767575479e-08,-2.192905412812252e-05,6.027472409186885e-05,2.39979613070318e-06,1.6699579646228813e-05,0.00026643378,
77.181,28.482,7.550187001470476e-05,2.00468857656233e-05,6.22152901996742e-06,2.5840004e-06,,,4.306271421228303e-06,,-4.701571015175432e-05,,-1.229265990332351e-06,5.982700713502709e-06,-1.9735216e-06,7.557639037258923e-05
77.192,28.482,2.8599237339221872e-05,1.9802437236648984e-05,8.30994304124033e-06,0.00013001055,4.919901584798936e-06,,2.0783525542356077e-05,-2.75154579867376e-05,-1.1990676284767687e-05,,2.834435235854471e-06,-5.268220775178634e-06,2.930455e-07,1.6390005839639343e-05
77.202,28.482,0.0001382118207402,6.482734170276672e-05,3.2702487260394264e-06,1.455726e-05,,2.975374081870541e-05,1.2022926057397854e-05,-6.962206953176064e-06,-1.8980437744176012e-05,3.747134178411216e-05,-3.934579581255093e-06,3.443533614699845e-06,1.8122966e-05,2.715740083658602e-05
77.213,28.482,0.0001124059126595,6.319246313069016e-05,1.4633965292887297e-05,5.4412136e-05,,1.5536685396000394e-06,7.850376277929172e-06,-5.6077560657286085e-06,-1.2300042726565152e-05,2.7271555154584348e-05,4.171364253124921e-06,1.0182918231294025e-05,4.5192017e-05,4.59043585578911e-05
77.223,28.482,2.8679500246653333e-05,4.23035271523986e-05,2.0871183892268166e-07,2.4910329e-05,,,-3.2087345971376635e-06,-1.6352202010239123e-06,-4.950364746036939e-05,2.2220108803594485e-05,1.0429966096126009e-05,1.570597305544652e-05,5.3811465e-05,2.4275504983961586e-05
77.233,28.482,0.0002542490547057,2.9887418349971995e-05,5.340473217074759e-05,1.2851636e-05,4.919901584798936e-06,1.1310198715364097e-05,-2.2381827875506133e-06,-1.3687303180631716e-05,-1.912833613459952e-05,2.2220108803594485e-05,-1.1048385886169854e-06,8.049587449932005e-06,0.00017063138,1.866046841314528e-05
77.244,28.482,5.785783287137747e-05,3.027781713171862e-05,3.476253914413974e-05,9.522308e-06,,,1.8198041288997047e-05,,-2.363347448408604e-05,3.608435872592963e-05,5.249052264844067e-06,6.035721071384614e-06,5.517136e-05,2.182982279919088e-05
77.129,28.492,6.347135058604181e-05,2.313353070348967e-05,8.916810656955931e-06,2.5305135e-05,,,1.1096884009020869e-05,,3.632369271144853e-06,3.0410246836254373e-05,5.399275778472656e-06,1.8146440197597254e-05,6.573317e-06,1.89342590601882e-05
77.14,28.492,1.0377906619396526e-05,,-1.082356106962834e-06,3.228075e-05,,,1.0529950486670714e-05,,-2.0523151761153716e-05,,1.3743538147537038e-05,1.0996745004376862e-05,0.00014432342,3.834313247352839e-05
77.15,28.492,7.64313226682134e-05,4.277158950571902e-05,8.287691343866754e-06,1.22992715e-05,7.903096047812141e-06,,8.266828444902785e-06,-1.5558138329652138e-05,-9.881685400614517e-06,3.099370587733574e-05,1.8742637166724307e-06,-3.2004415970732225e-06,4.9080325e-05,1.885632627818268e-05
77.161,28.492,5.160469663678669e-05,4.767948485095985e-05,1.106449417420663e-05,1.6852848e-05,,1.8857203031075187e-05,9.460357432544695e-06,,-4.701571015175432e-05,,-2.378584440521081e-07,4.0432028072245885e-06,2.3915345e-06,2.3037788196234036e-05
77.171,28.492,3.3759381039999425e-05,8.551020437153056e-05,2.3446227714885023e-05,2.3074437e-05,0.0001002589706331,,1.4113919860392343e-05,-5.6077560657286085e-06,-2.9127910238457844e-05,3.0766088457312435e-05,-2.411994501017034e-06,7.478028692275984e-06,2.930455e-07,1.8436308891978115e-05
77.181,28.492,4.3800860112241935e-06,4.0020117012318224e-05,8.472028639516793e-06,1.1744182e-05,0.0001002589706331,2.225667049060576e-05,1.017607246467378e-05,-4.849297511100303e-06,-2.357001358177513e-05,5.235169737716205e-05,3.852678219118388e-06,-2.025682988460176e-05,0.0001017841,2.010655589401722e-05
77.192,28.492,,3.61138918378856e-05,-1.0909139973591664e-06,7.253069e-06,,,7.850376277929172e-06,-1.211347262142226e-05,-1.3522321751224808e-05,2.6541210900177248e-05,-6.088356485633994e-07,6.618228781007929e-06,9.962607e-05,2.2819316654931757e-05
77.202,28.492,3.866828774334863e-05,2.446801408950705e-05,8.370038813154679e-06,6.850261e-05,,3.1826402846490964e-06,6.458723419200396e-06,-1.0794721674756149e-05,-4.950364746036939e-05,5.349486309569329e-05,,5.006543688068632e-06,5.365786e-05,
77.213,28.492,,1.827475534810219e-05,-2.8078338800696656e-06,7.7213605e-05,0.0003195532772224,,3.722667315742001e-06,-1.2305944437684955e-05,-1.282665652979631e-05,3.765698056668043e-05,-1.336467789769813e-06,4.729370630229823e-06,4.6642428e-05,7.557639037258923e-05
77.223,28.492,2.3150436391006224e-05,1.9802437236648984e-05,5.940585106145591e-05,9.106819e-06,,,7.508143880841089e-06,-1.4313887731987052e-05,-1.180428262159694e-05,6.027472409186885e-05,1.04520195236546e-05,2.6189709387836047e-05,5.5007582e-05,1.5619387340848334e-05
77.233,28.492,6.700880476273596e-05,2.994324495375622e-05,1.1213336620130576e-05,2.3020504e-05,0.0001345018827123,,1.4224402548279612e-05,-7.601350262120832e-06,-1.5373918358818628e-05,,2.3454322217730805e-06,6.110419235483278e-06,9.903431e-05,2.020916508627124e-05
