longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.192,28.482,9.358485840493812e-05,-9.883604434435256e-06,1.4743373867531773e-05,4.236362292431295e-05,4.281539440853521e-05,-1.9252523998147808e-05,-1.693565718596801e-05,,-7.85512020229362e-06,,2.0235565898474306e-06
77.202,28.482,4.5547494664788246e-05,-1.5202404938463587e-05,8.851373422658071e-06,3.106865187874064e-05,-1.071793349183281e-06,-2.13752209674567e-05,2.181404397560982e-06,-9.85348924587015e-06,1.605811485205777e-05,,6.875805411254987e-06
77.213,28.482,4.702621936303331e-06,-2.027103073487524e-05,-1.15856764750788e-05,4.377922959974967e-05,5.7355351600563154e-05,,-1.975043687707512e-06,1.838245225371793e-05,,,1.1677416296151932e-05
77.223,28.482,3.4181171940872446e-05,-1.9959852579631843e-05,4.721391451312229e-05,1.703287307464052e-05,1.743763277772814e-05,,-2.1680803911294788e-05,,,,4.69492670163163e-06
77.233,28.482,3.496170393191278e-06,-2.036646219494287e-05,4.672697286878247e-06,3.085838397964835e-05,6.290676537901163e-06,,9.951622814696748e-06,4.569193606585031e-06,,,8.180297299986705e-05
77.244,28.482,6.907883289386518e-06,-2.2459809770225547e-05,3.616715548560023e-05,5.75151716475375e-06,1.3751829328612075e-06,-3.4221266105305403e-06,4.919359071209328e-06,1.1897158401552588e-05,-5.68205814488465e-06,,5.252241680864245e-05
77.129,28.492,6.796728848712519e-05,-7.88880879554199e-06,1.3096223483444192e-05,4.857975909544621e-06,3.392239023014554e-06,-6.053078777767951e-06,1.4032092622073831e-05,5.505968601937639e-06,-3.3860558232845506e-06,,6.582147761946544e-06
77.14,28.492,3.304004394522053e-06,-6.2563212850363925e-06,7.241316779982299e-06,,1.2429625712684356e-05,-6.379601018124959e-06,1.492783098910877e-06,1.872426400950644e-05,-1.2269335911696544e-06,,1.089239140128484e-05
77.15,28.492,4.744520992971957e-05,-5.333377430360997e-06,6.871469850011636e-06,2.2288808395387605e-05,3.71905275642348e-06,,-4.734468816991466e-09,6.978941382840276e-05,-9.435069614482928e-08,,-1.98233237824752e-06
77.161,28.492,1.5000930943642745e-05,-1.9438697563600726e-05,1.4605540854972787e-05,6.576248324563494e-06,6.0641741583822295e-06,-1.883985714812297e-05,-9.309785127697978e-06,1.8210166672361083e-05,-2.3086722649168223e-06,,1.5513600374106318e-05
77.171,28.492,1.119784610636998e-05,-2.036646219494287e-05,1.0613941412884742e-05,4.570129021885805e-05,4.136776988161728e-05,-1.1203959729755296e-05,2.838127102222643e-06,1.759851693350356e-05,-7.537205874541541e-06,,1.957648919415078e-06
77.181,28.492,2.3153457732405517e-05,-4.162462573731318e-06,7.886102139309514e-06,3.154708610964008e-05,9.59185945248464e-06,-1.765432534739375e-05,4.516990429692669e-06,1.5163838725129608e-05,-5.410316134657478e-06,,2.3911366952233948e-05
77.192,28.492,9.367522579850627e-06,-7.88880879554199e-06,1.3830987882101908e-05,6.5371100390621e-06,5.4126689065014943e-05,-1.526185587863438e-05,,0.0001810603571357,1.8312040992896076e-05,,5.146362582308939e-06
77.202,28.492,2.687994310690556e-05,-7.88880879554199e-06,2.4501576262991875e-05,2.950053021777421e-05,-1.2856791727244854e-05,-5.148348009242909e-06,-2.4212116841226816e-05,0.0003970363177359,,,-1.9861427063005976e-06
77.213,28.492,2.874441815947648e-05,-7.88880879554199e-06,-1.8205166725238089e-06,5.75151716475375e-06,0.0001453422300983,-2.2226337023312223e-05,3.7670013171009487e-06,2.3458687792299318e-07,-6.261262569751125e-06,,1.6325544493156485e-05
77.223,28.492,1.881787648017053e-05,,5.164865342521807e-06,2.864809903257992e-05,5.018436240789015e-06,,-1.3873101124772802e-05,-4.995877134206239e-08,1.4786942301725505e-05,,8.471479304716922e-06
77.233,28.492,7.72366183809936e-06,-2.1923528038314544e-05,1.212030724673241e-06,2.8347960324026644e-05,8.184487342077773e-06,-2.609944021969568e-05,,,-8.954502845881507e-06,,2.5661584004410543e-05
77.244,28.492,1.954237995960284e-05,-7.391996064143314e-07,5.017914645577548e-06,4.377922959974967e-05,3.171616981489933e-06,-1.7530621335026808e-05,-2.125467972291517e-06,8.152294867613818e-06,,,8.052624252741225e-06
77.254,28.492,1.8822425772668797e-05,-4.863427875534399e-06,1.3300540331329105e-06,3.3398257073713467e-05,,-1.955480911419727e-05,9.436467735213228e-06,1.062939190887846e-05,-7.656929597033013e-07,,8.705804361852643e-07
77.264,28.492,1.981287641683593e-05,,5.182375844015041e-06,5.371809038479114e-06,1.4479813899015426e-06,-2.531760765123181e-05,,0.0002437518414808,-7.656929597033013e-07,,1.7308839233010076e-05
77.275,28.492,2.8202264729770832e-05,-2.6520874598645605e-05,1.1070717846450862e-05,1.828627500799485e-05,7.165887836890761e-06,-1.0196235962212086e-05,-6.107406989031006e-06,7.634085341123864e-05,5.5960813369893e-06,,6.230929102457594e-06
77.306,28.492,4.980285211786395e-06,-7.301772257051198e-06,1.5987216102075763e-05,1.574167617945932e-05,,-1.1459401321189944e-05,,-5.2692989811475854e-06,-1.0329483757232083e-06,,5.218161732045701e-06
77.316,28.492,1.5150376384553963e-05,-9.38733955990756e-06,2.914341894211248e-05,2.1767491489299573e-06,0.0001876239257398,-1.7464642951381393e-05,-4.676994933561218e-07,3.135025690426119e-05,-9.023677193908952e-06,,8.66984646563651e-06
77.327,28.492,1.202666317112744e-05,-3.830546120298095e-06,1.9008610252058133e-05,3.3058153348974884e-05,4.744334546558093e-06,-4.588689989759587e-06,5.493331173056504e-06,3.984517024946399e-05,,,1.2973679076822007e-05
76.891,28.502,0.0001200099795823,-2.3071037503541447e-05,1.884512676042505e-05,8.957896170613822e-06,2.3268116819963325e-06,-1.1066626029787583e-05,7.121960265976668e-07,0.0001336807617917,2.3669711026741425e-06,,2.0274845155654475e-05
77.109,28.502,-1.1475996871013194e-05,-8.644543413538486e-06,9.301548743678724e-06,1.994823605855345e-06,4.3800326238852e-05,-6.379601018124959e-06,,1.453038930776529e-05,-3.902684511558618e-06,,5.960702765150927e-06
77.119,28.502,2.879076600947883e-05,-1.9154356778017245e-05,5.2793340728385374e-05,4.0672410250408575e-05,6.851732905488461e-06,-5.897364189877408e-06,,-3.065573037019931e-05,1.8473871023161337e-05,,-1.3339592896954855e-06
77.129,28.502,8.310364501085132e-05,,4.284005171939498e-06,6.576248324563494e-06,6.7544306148192845e-06,-1.1943496247113217e-05,4.135803010285599e-06,-2.478712849551812e-05,-6.700766789435875e-06,,1.8825776351150125e-05
77.14,28.502,2.5483495846856385e-05,,7.061119958962081e-06,3.602410652092658e-05,-7.42672625619889e-07,-1.973216058104299e-05,-4.1150491597363725e-05,1.819389217416756e-05,2.790085454762448e-05,,7.401611128443619e-06
77.15,28.502,1.8997043298440985e-05,-6.033204044797458e-06,2.0462526663322933e-05,6.414566450985149e-05,6.43405564915156e-06,,9.015910507059745e-08,2.4114637199090797e-05,1.1678821465466172e-05,,1.2618472283065785e-05
77.161,28.502,6.142759048088919e-06,-9.38733955990756e-06,2.648025838425383e-05,2.2288808395387605e-05,0.0001544470287626,,1.3574735646670888e-07,1.791033719200641e-05,-6.700766789435875e-06,,5.988274278934114e-05
77.171,28.502,2.1098472643643618e-05,-2.6520874598645605e-05,1.3069396118225995e-05,2.2288808395387605e-05,2.5223866941814777e-06,-1.605014767847024e-05,-1.944776704476681e-05,4.950636594003299e-06,1.5273208191501908e-05,,1.7671942259767093e-05
