longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
77.15,28.512,3.0218094252632e-05,1.0322046364308337e-05
77.161,28.512,7.376354005828034e-06,7.91865932114888e-06
77.171,28.512,1.6944339222391136e-05,2.203574331360869e-05
77.181,28.512,2.711520755838137e-05,9.163879440166056e-06
77.192,28.512,2.8860675229225308e-05,1.2722770406981e-05
77.202,28.512,,7.644195648026653e-06
77.213,28.512,2.534834493417293e-05,1.718085513857659e-05
77.223,28.512,2.375207031946047e-06,1.2286807759664953e-05
77.233,28.512,1.1137844921904616e-05,1.0387577276560478e-05
77.244,28.512,,-1.3050136658421252e-05
77.254,28.512,5.135074843565235e-06,1.3334903087525165e-05
77.264,28.512,5.8655747125158086e-05,1.9588931536418382e-05
77.275,28.512,1.8293168977834284e-05,1.832788620959036e-05
77.285,28.512,3.121600457234308e-05,1.3638989003084134e-05
77.296,28.512,9.964588571165224e-06,1.6263533325400203e-05
77.306,28.512,8.58900966704823e-06,8.398375030083116e-06
77.316,28.512,1.08513822851819e-05,8.317605534102768e-06
77.327,28.512,1.314524888584856e-05,1.102814894693438e-05
77.337,28.512,3.1305287848226726e-05,2.33981463679811e-05
76.891,28.522,2.3451155357179232e-05,1.5108264960872477e-05
76.901,28.522,2.882591729758133e-07,7.501509571739007e-06
76.911,28.522,9.461142326472329e-06,3.8357152334356215e-06
76.922,28.522,9.058171599463094e-06,1.0019742148870137e-05
76.932,28.522,9.266436791222075e-06,1.0032176760432776e-05
76.943,28.522,2.2413756596506573e-05,2.783725676636095e-06
76.953,28.522,2.2917423848412e-05,1.1968573971898875e-06
76.963,28.522,,1.0173960163228912e-06
76.974,28.522,1.213404357258696e-05,1.863100442278665e-05
76.984,28.522,1.037253241520375e-05,2.1107238353579305e-05
76.994,28.522,,1.7265367205254734e-05
77.005,28.522,3.027108323294669e-05,5.842837254022015e-06
77.015,28.522,1.3874450814910231e-05,1.1423542673583142e-05
77.057,28.522,-8.181267730833497e-06,-6.742380264768144e-06
77.067,28.522,,2.3739108655718155e-05
77.078,28.522,4.885390444542281e-05,1.8623295545694415e-05
77.088,28.522,5.474596036947332e-06,2.3302396584767848e-05
77.098,28.522,3.513851197567419e-06,1.5204735973384231e-05
77.109,28.522,1.2570685612445232e-06,2.3464839614462107e-05
77.119,28.522,-2.526351272535976e-05,9.216953003488015e-06
77.129,28.522,1.0659096915333066e-05,9.577749551681336e-06
77.14,28.522,-9.766438324732007e-07,1.728532515699044e-05
77.15,28.522,1.853639332694001e-05,1.0462978934810964e-05
77.161,28.522,1.4040983842278363e-05,1.032659929478541e-05
77.171,28.522,,4.548490323941223e-06
77.181,28.522,3.0535724363289773e-05,1.3330010915524326e-05
77.192,28.522,5.3620048845459685e-08,1.9682565834955312e-05
77.202,28.522,8.437149517703801e-06,1.0456458312546602e-06
77.213,28.522,9.99143685476156e-06,1.2831997992179822e-05
77.223,28.522,,-1.038805567077361e-05
77.233,28.522,1.742482345434837e-05,2.3067552319844253e-05
77.244,28.522,,1.2853812222601846e-05
77.254,28.522,4.484251348912949e-06,1.958844950422645e-05
77.264,28.522,6.590095381397987e-06,1.855308801168576e-05
77.275,28.522,3.7935238651698455e-05,4.698415978054982e-06
77.285,28.522,1.1311512935208157e-05,1.3211054465500638e-05
77.296,28.522,,6.271759048104286e-06
77.306,28.522,1.701566930023546e-06,1.2996952136745676e-05
77.316,28.522,7.276556516444543e-06,1.5631463611498475e-05
77.327,28.522,2.2271628040471118e-05,-4.898346105619567e-06
77.337,28.522,1.2229980711708777e-05,1.4766927051823586e-05
76.88,28.531,1.2348085874691606e-05,9.562724881106988e-05
76.891,28.531,,2.040765139099676e-05
76.901,28.531,3.584558726288378e-05,1.889726991066709e-05
76.911,28.531,1.5406178135890514e-05,-2.556465233283234e-06
76.922,28.531,2.5039102183654904e-05,1.0335840670450123e-05
76.932,28.531,2.923725151049439e-05,8.803481250652112e-06
76.943,28.531,,1.9185874407412484e-05
76.953,28.531,3.206218752893619e-05,9.686608564152266e-07
76.963,28.531,1.0862018825719131e-05,1.7478489098721184e-05
76.974,28.531,2.8741003916366022e-05,1.996242644963786e-06
76.984,28.531,8.955691555456724e-06,-2.631707332056976e-07
