longitude,latitude,No2_value(mol/m^2)
76.943,28.619,4.479532071854919e-05
76.953,28.619,
76.963,28.619,1.697311927273404e-05
76.974,28.619,3.1147839763434604e-05
76.984,28.619,1.2050722034473438e-05
76.994,28.619,
77.005,28.619,2.065573244180996e-05
77.015,28.619,1.914968197525013e-05
77.026,28.619,1.1375712347216904e-05
77.036,28.619,
77.046,28.619,
77.057,28.619,1.936194530571811e-05
77.067,28.619,1.2978171071154064e-05
77.078,28.619,3.217153061996214e-05
77.088,28.619,5.238428457232658e-06
77.098,28.619,1.5344960047514178e-05
77.109,28.619,
77.119,28.619,1.2846875506511424e-05
77.129,28.619,-1.882235665107146e-05
77.14,28.619,3.267163992859423e-05
77.15,28.619,2.204480188083835e-05
77.161,28.619,1.568987499922514e-05
77.171,28.619,1.8278642528457567e-05
77.181,28.619,3.509452290018089e-05
77.192,28.619,
77.202,28.619,1.3667737221112476e-05
77.213,28.619,3.4194494219264016e-05
77.223,28.619,
77.233,28.619,3.954170097131282e-05
77.244,28.619,
77.254,28.619,2.5994664611062035e-05
77.264,28.619,2.1938056306680664e-05
77.275,28.619,-5.494653123605531e-06
77.285,28.619,
77.296,28.619,1.0515143003431149e-05
77.306,28.619,-2.428997504466679e-06
77.316,28.619,1.4091108823777176e-05
77.327,28.619,-1.2758606317220256e-05
77.337,28.619,
76.891,28.629,2.607167516543996e-05
76.911,28.629,
76.922,28.629,
76.953,28.629,-4.857584644923918e-05
76.963,28.629,
76.974,28.629,
76.984,28.629,
76.994,28.629,2.825655792548787e-05
77.005,28.629,1.546747807879001e-05
77.015,28.629,-3.0279661586973816e-05
77.026,28.629,
77.036,28.629,1.908970261865761e-05
77.046,28.629,1.361489194096066e-05
77.057,28.629,1.61533407663228e-05
77.067,28.629,
77.078,28.629,1.8414777514408343e-05
77.088,28.629,1.813154995033983e-05
77.098,28.629,2.5147584892692976e-05
77.109,28.629,2.0864619727944955e-05
77.119,28.629,9.183930160361342e-06
77.129,28.629,1.8446198737365197e-05
77.14,28.629,
77.15,28.629,1.970664561667945e-05
77.161,28.629,1.748089380271267e-05
77.171,28.629,2.7360329113435e-05
77.181,28.629,
77.192,28.629,2.9156935852370225e-05
77.202,28.629,2.09289701160742e-05
77.213,28.629,2.648035297170281e-05
77.223,28.629,-6.548741566803074e-07
77.233,28.629,2.563824273238424e-05
77.244,28.629,1.9053733922191896e-05
77.254,28.629,2.8991142244194638e-05
77.264,28.629,1.106633135350421e-05
77.275,28.629,3.8122409478091863e-06
77.285,28.629,
77.296,28.629,
77.306,28.629,1.635440276004374e-05
77.316,28.629,1.7560894775670022e-05
77.327,28.629,1.8459430066286583e-05
76.943,28.639,-1.2785272701876238e-05
76.953,28.639,-3.0279661586973816e-05
76.963,28.639,
76.974,28.639,4.0629847717355005e-06
76.984,28.639,3.1181312806438655e-05
76.994,28.639,1.6295507521135733e-05
77.005,28.639,2.9808454200974666e-05
77.015,28.639,
77.026,28.639,1.865636841102969e-05
77.036,28.639,2.1959900550427847e-05
77.046,28.639,-1.7393298548995517e-05
77.057,28.639,1.5192123100860044e-05
77.067,28.639,
77.078,28.639,
77.088,28.639,2.4785183995845728e-05
77.098,28.639,1.151107335317647e-05
77.109,28.639,1.1229347364860589e-05
77.119,28.639,5.001988756703213e-05
77.129,28.639,-3.858013224089518e-05
77.14,28.639,1.945574149431195e-05
77.15,28.639,1.7372483853250742e-05
77.161,28.639,-2.0368059267639183e-05
77.171,28.639,3.01824420603225e-05
77.181,28.639,1.8731170712271705e-05
77.192,28.639,1.683589471213054e-05
77.202,28.639,
77.213,28.639,-8.767870895098895e-06
77.223,28.639,-9.387573300045917e-06
77.233,28.639,
77.244,28.639,
77.254,28.639,
77.264,28.639,2.3604781745234504e-05
77.275,28.639,
77.285,28.639,
77.296,28.639,
77.306,28.639,1.604759381734766e-05
77.316,28.639,1.990434611798264e-05
76.932,28.649,4.652522420656169e-06
76.943,28.649,5.9009689721278846e-05
76.953,28.649,
76.963,28.649,1.485833945480408e-05
76.974,28.649,1.085012081603054e-05
76.984,28.649,1.388496548315743e-05
76.994,28.649,
77.005,28.649,2.6396084649604745e-05
77.015,28.649,
77.026,28.649,6.922291959199356e-06
77.036,28.649,1.7930007743416354e-05
77.046,28.649,1.370749669149518e-05
77.057,28.649,6.568658591277199e-06
77.067,28.649,
77.078,28.649,
77.088,28.649,1.2780280485458206e-05
77.098,28.649,3.055725755984895e-05
77.109,28.649,
77.119,28.649,2.0100234905839898e-05
77.129,28.649,1.76620960701257e-05
77.14,28.649,-8.05929084890522e-06
77.15,28.649,3.179544728482142e-05
77.161,28.649,3.3783122489694506e-05
77.171,28.649,2.3116082957130857e-05
77.181,28.649,2.7756168492487632e-05
77.192,28.649,2.7056263206759468e-05
77.202,28.649,2.509580372134224e-05
77.213,28.649,2.234952262369916e-05
77.223,28.649,3.371498314663768e-05
77.233,28.649,1.639354377402924e-05
77.244,28.649,1.1950539374083746e-05
77.254,28.649,2.049653630820103e-05
77.264,28.649,
77.275,28.649,1.4091108823777176e-05
77.285,28.649,-7.884110527811572e-05
77.296,28.649,3.085964999627322e-05
77.306,28.649,5.129432975081727e-05
77.316,28.649,8.690213689988013e-06
76.932,28.659,-3.858013224089518e-05
76.943,28.659,1.0577958164503798e-05
76.953,28.659,2.1898442355450243e-05
76.963,28.659,2.0283243429730646e-05
76.974,28.659,
76.984,28.659,2.681725163711235e-05
76.994,28.659,9.631945431465285e-06
77.005,28.659,1.361489194096066e-05
77.015,28.659,2.667042645043693e-05
77.026,28.659,
77.036,28.659,1.6279696865240112e-05
77.046,28.659,2.4506884074071426e-05
77.057,28.659,8.335404345416464e-06
77.067,28.659,1.9107996195089072e-05
77.078,28.659,-2.24438317673048e-05
77.088,28.659,3.057379581150599e-05
77.098,28.659,1.5580040781060234e-05
77.109,28.659,-1.956091000465676e-05
77.119,28.659,2.296195452800021e-05
77.129,28.659,2.103103906847537e-05
77.14,28.659,-2.1131871108082123e-05
77.15,28.659,3.877212748193415e-06
77.161,28.659,-2.333396696485579e-05
77.171,28.659,
77.181,28.659,-3.906951917542756e-07
77.192,28.659,1.4935399121895898e-05
77.202,28.659,-5.47314302821178e-05
77.213,28.659,3.1031529942993075e-05
77.223,28.659,-3.8672820664942265e-05
77.233,28.659,3.2998632377712056e-05
77.244,28.659,1.7054910131264478e-05
77.254,28.659,1.4460505553870462e-05
77.264,28.659,1.7555383237777278e-05
77.275,28.659,4.086189073859714e-05
77.285,28.659,-2.424671947665047e-06
77.296,28.659,
77.306,28.659,2.4967552235466428e-05
77.316,28.659,2.2800835722591728e-05
76.953,28.668,
76.963,28.668,2.1124353224877268e-05
76.974,28.668,
76.984,28.668,1.8606076992000453e-05
76.994,28.668,2.1959900550427847e-05
77.005,28.668,1.4269740859162994e-05
77.015,28.668,2.0520079488051124e-05
77.026,28.668,1.6086198229459114e-05
77.036,28.668,1.9361465092515573e-05
