longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.244,28.492,3.070046295761131e-05,1.3430936633085366e-05,7.622760313097388e-05,1.6564057659707032e-05
77.254,28.492,6.19705970166251e-05,1.6194588170037605e-05,0.0001251051580766,1.2438091289368458e-05
77.264,28.492,3.676489723147824e-05,-1.5626512322342023e-05,-1.204237264573749e-06,4.477641141420463e-06
77.275,28.492,8.686812361702323e-05,4.034536323160864e-05,4.011954661109485e-05,8.767314625401923e-07
77.306,28.492,1.053393953043269e-05,,,1.227607981491019e-06
77.316,28.492,6.973138079047203e-05,-4.738567440654151e-06,2.089987356157508e-05,5.167821200302569e-06
77.327,28.492,2.3527833036496304e-05,2.2893576897331517e-05,0.0001676162064541,6.160099928820273e-06
76.891,28.502,5.399607471190393e-05,-1.4255249880079646e-05,8.007361611817032e-05,2.025236244662665e-05
77.109,28.502,6.336899241432548e-05,-7.576137477371958e-07,0.0001553095353301,4.383396662888117e-05
77.119,28.502,4.52301355835516e-05,3.823103907052428e-05,6.584303719137097e-06,1.5624942534486763e-05
77.129,28.502,3.986224328400567e-05,,7.880508928792551e-05,8.902252375264652e-06
77.14,28.502,-4.943528892908944e-06,-2.03948475245852e-05,0.0001012090724543,1.1963465112785345e-05
77.15,28.502,-2.2763707363537836e-08,1.2990697541681584e-05,1.8644586816662923e-05,1.3750407561019529e-05
77.161,28.502,2.424475314910524e-05,,,2.8278780519030988e-05
77.171,28.502,7.125431875465438e-05,-1.7968066458706744e-05,1.4469720554188823e-05,2.150183354387991e-05
77.181,28.502,1.1346089195285458e-05,2.2968226403463632e-05,1.9145973055856302e-05,1.0483669939276297e-05
77.192,28.502,4.31751977885142e-05,-9.120719369093422e-06,1.415463884768542e-05,2.116639370797202e-05
77.202,28.502,-1.2183409126009792e-07,2.1164376448723488e-05,-1.7276148582823223e-06,1.0043810107163154e-05
77.213,28.502,6.824680895078927e-06,1.1565084605535958e-05,,2.111453613906633e-05
77.223,28.502,1.927353514474817e-05,2.9288719360920368e-06,3.058008951484226e-05,1.6777668861323036e-05
77.233,28.502,5.233282081462676e-06,-2.1558187654591165e-05,1.960111148946453e-05,1.3288479749462567e-05
77.244,28.502,0.0003065994824282,1.935246018547332e-06,0.0002516931854188,7.692841791140381e-06
77.254,28.502,4.825142605113797e-05,1.4747506611456627e-05,0.0001425701630068,1.5506495401496068e-05
