longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.078,28.531,5.675911324942717e-06,3.598870898713358e-05,3.033231405424885e-05
77.088,28.531,8.260902177426033e-06,,2.421851604594849e-05
77.098,28.531,,2.330891220481135e-05,1.8135322534362786e-05
77.109,28.531,-1.729078746848245e-07,1.7229423974640667e-05,3.661906157503836e-05
77.119,28.531,-8.410953569182311e-07,1.3656814189744182e-05,6.228760412341217e-06
77.129,28.531,2.45737155637471e-05,2.137420597136952e-05,4.0165756217902526e-05
77.14,28.531,9.565497748553751e-06,8.840475857141428e-06,
77.15,28.531,1.3121275515004529e-05,,2.175995905417949e-05
77.161,28.531,4.838853783439845e-06,3.7546946259681135e-05,2.234986641269643e-05
77.171,28.531,7.338446721405489e-06,1.891168358270079e-05,9.82574638328515e-05
77.181,28.531,1.0804697922139894e-05,6.945818313397467e-06,2.547484837123193e-05
77.192,28.531,1.95302777683537e-06,3.736597500392236e-05,1.4055145584279671e-05
77.202,28.531,9.694726031739265e-06,2.0387329641380347e-05,2.531748395995237e-05
77.213,28.531,-2.3742638859403087e-06,3.085304706473835e-05,2.44727070821682e-05
77.223,28.531,,2.330157258256804e-05,4.6773668145760894e-05
77.233,28.531,-5.578258878813358e-06,1.2555280591186602e-05,3.4028926165774465e-05
77.244,28.531,8.663909284223337e-06,,4.873868238064461e-05
77.254,28.531,5.816367320221616e-06,,
77.264,28.531,9.17756733542774e-06,2.340397986699827e-05,
77.275,28.531,1.4118928447715008e-05,-1.1757345674823229e-07,7.237534646264976e-06
77.285,28.531,3.641083094407804e-05,3.9283808291656896e-05,2.119898454111535e-05
77.296,28.531,9.14592692424776e-06,,3.132288111373782e-05
77.306,28.531,2.57547708315542e-05,8.881204848876223e-06,2.99766797979828e-05
77.316,28.531,1.0323295100533867e-05,-6.288425993261626e-06,1.748912109178491e-05
77.327,28.531,,1.0768922038550954e-05,3.1732834031572565e-05
76.87,28.541,6.015023245709017e-06,2.888479502871633e-05,1.953433456947096e-05
76.88,28.541,1.4748885405424517e-05,1.6964439055300318e-05,1.6583959222771227e-05
76.891,28.541,-4.057701517012902e-06,,2.192259125877172e-05
76.901,28.541,-8.353179509867914e-06,1.3296173165144864e-05,1.2822318240068851e-05
76.911,28.541,1.1656453352770768e-05,3.734098208951764e-05,3.209983333363198e-05
76.922,28.541,-1.031339979817858e-05,3.9444116737286095e-06,2.4143237169482745e-05
76.932,28.541,5.77653054278926e-06,1.591558066138532e-05,
76.943,28.541,5.88521243116702e-06,4.257608452462591e-05,
76.953,28.541,2.3276554657059023e-06,2.4777139060461195e-06,1.849135514930822e-05
76.963,28.541,7.299424396478571e-06,2.101490827044472e-05,1.8779201127472334e-05
76.974,28.541,2.9276052373461425e-06,4.2168914660578594e-05,4.753398752654903e-05
76.984,28.541,1.439828429283807e-05,2.210138700320385e-05,3.226763510610908e-05
76.994,28.541,1.1016260941687506e-05,9.842635336099193e-06,
77.005,28.541,1.0114329995758453e-07,1.3784982002107428e-05,3.961278707720339e-05
77.015,28.541,1.7278065570280887e-05,4.695123607234564e-06,7.40427931305021e-05
77.026,28.541,1.1833203643618616e-05,,5.563365266425535e-05
77.036,28.541,1.3872891031496692e-05,,1.466666435590014e-05
77.046,28.541,,,3.0235227313824e-05
77.057,28.541,1.599763345438987e-05,2.9194259695941582e-05,1.526142659713514e-05
77.067,28.541,1.02826816146262e-05,3.362648931215517e-05,
77.078,28.541,,2.1273406673572023e-05,2.110935383825563e-05
77.088,28.541,1.067299035639735e-05,9.829417649598328e-06,1.3300660612003412e-05
77.098,28.541,-4.698083557741484e-06,1.745104782457929e-05,2.7390899049350992e-05
77.109,28.541,2.008155752264429e-05,1.5503417671425268e-05,7.797883881721646e-06
77.119,28.541,9.28569534153212e-06,,3.572936839191243e-05
77.129,28.541,1.9116769180982374e-05,5.644493285217322e-06,2.2553476810571738e-05
77.14,28.541,7.220971838250989e-06,5.609424988506362e-06,1.4212917449185625e-05
77.15,28.541,1.8238293932881788e-06,1.2289699043321887e-05,2.1154191927053038e-05
77.161,28.541,4.056993475387571e-06,1.6030873666750267e-05,1.916232577059418e-05
77.171,28.541,,1.2088855328329371e-05,3.0702405638294294e-05
77.181,28.541,1.527778476884123e-05,2.5097182515310124e-05,7.2822513175196946e-06
77.192,28.541,1.6592467773079989e-06,3.5314242268214e-05,1.5922856618999504e-05
77.202,28.541,8.229590093833394e-07,3.40540791512467e-05,4.507499852479668e-06
77.213,28.541,8.174933441296162e-07,2.9132152121746916e-05,-3.2582936455582967e-06
77.223,28.541,9.959712770069018e-06,2.7870448775502155e-06,6.28823327133432e-05
77.233,28.541,1.5502251699217595e-05,9.71544795902446e-05,
77.244,28.541,7.975018888828345e-06,1.7933516573975794e-05,1.6619716916466132e-05
77.254,28.541,3.9365972952509765e-06,4.735136826639064e-06,2.592006421764381e-05
77.264,28.541,3.913833097612951e-06,1.049807087838417e-05,3.646984987426549e-05
77.275,28.541,1.0174762792303229e-05,,1.8508413631934676e-05
77.285,28.541,5.047701051807962e-06,3.129451579297893e-05,2.4188457246054892e-05
77.296,28.541,5.133022114023333e-06,,2.141329423466232e-05
77.306,28.541,8.875932508090045e-06,,3.586940874811262e-05
77.316,28.541,9.248508376913378e-07,1.5380986951640807e-05,
76.849,28.551,3.197370688212686e-07,,
76.86,28.551,5.373431577027077e-06,,1.4616362932429183e-05
76.87,28.551,,1.217757471749792e-05,2.3445662009180523e-05
76.88,28.551,-1.8550434788267008e-06,1.6590083760092966e-05,1.2096817044948692e-05
76.891,28.551,,2.158463757950813e-05,3.1571405997965485e-05
76.901,28.551,4.972470378561411e-06,4.2522791773080826e-05,9.517226317257156e-06
76.911,28.551,2.077526369248517e-05,1.1525653462740593e-05,3.299423769931309e-05
76.922,28.551,,3.6647350498242304e-05,1.5707833881606348e-05
76.932,28.551,2.383499850111548e-05,2.657954792084638e-05,1.2466119187592994e-05
