longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.14,28.473,,3.27055822708644e-05,8.84546352608595e-06,3.195992030669004e-05,,0.0001825489162001,,,-2.0717914139822824e-06,9.267342829843984e-05,,
77.15,28.473,-2.1066543354208989e-07,3.27055822708644e-05,9.03396648936905e-05,9.631434295442888e-06,2.1465222744154744e-05,2.0554212824208665e-05,,,8.984571650216822e-06,0.0001193931093439,-2.9305721909622665e-05,2.756595677055884e-05
77.161,28.473,4.473079570743721e-06,3.27055822708644e-05,1.0110895345860628e-05,1.4157598343444988e-05,3.095600550295785e-05,3.450082294875756e-05,8.368558155780192e-06,,2.685628260223893e-06,3.4281270927749574e-05,-1.1105873454653192e-05,
77.171,28.473,1.2439859347068705e-06,2.5717983589856885e-05,1.2832811989937907e-05,9.721411515783984e-06,3.296445356681943e-05,1.718046041787602e-05,,,5.134291768627008e-06,6.445056351367384e-05,-1.9173481632606126e-05,
77.181,28.473,,1.5438097761943936e-05,1.436909951735288e-05,7.903711775725242e-06,2.1342591935535893e-05,0.0001382841583108,1.707000365058775e-06,,3.15799798045191e-06,3.623114025685936e-05,-1.6085286915767938e-05,
77.192,28.473,,2.678912278497592e-05,-1.2636062365345424e-06,2.9994836950208992e-05,5.70802585571073e-05,3.5261949960840866e-05,-2.358339770580642e-05,,-2.126055278495187e-06,4.798670488526113e-05,,1.469021663069725e-05
77.202,28.473,-7.894032933108974e-06,,-5.653339485434117e-06,2.390560803178232e-05,2.546696305216756e-05,5.163664900464937e-05,-3.1577834306517616e-05,,1.1863625104524544e-06,3.301489050500095e-05,-1.3763456991000568e-05,1.5686950064264238e-05
77.213,28.473,6.139822653494775e-05,3.14359313051682e-05,1.5642985090380535e-05,2.3110003894544207e-05,6.220666546141729e-05,4.04299316869583e-05,,,-1.38213390528108e-05,2.997809497173876e-05,,1.640895425225608e-05
77.223,28.473,4.644547971111024e-06,2.0997007595724423e-05,7.277745226019761e-06,2.093840521411039e-05,2.152994420612231e-05,7.779271982144564e-05,,,1.1477090993139427e-05,6.759385723853484e-05,,1.640895425225608e-05
77.233,28.473,-1.1934475878661033e-05,2.5235458451788872e-05,5.706911451852648e-06,2.1355945136747323e-05,,5.2152878197375685e-05,,,1.047583282343112e-05,3.609038321883418e-05,-8.391341907554306e-06,1.402826455887407e-05
77.119,28.482,-2.197733920183964e-05,2.16024254768854e-05,9.964656783267856e-06,1.4827334780420642e-05,8.941847045207396e-05,6.319630483631045e-05,,,-9.192671313940082e-06,5.450499156722799e-05,-1.7277305232710205e-05,2.0810181013075635e-05
77.129,28.482,3.244394747525803e-06,1.9837812942569144e-05,1.0469351764186284e-05,1.4432102034334092e-05,,0.0001855201408034,,,4.264793915353948e-06,6.14565287833102e-05,-1.6085286915767938e-05,
