longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.161,28.443,,5.402795068221167e-05,,,9.495315680396745e-06,,,,1.3126521480444351e-05,6.492408829217311e-06
77.171,28.443,,3.494674092507921e-05,,,9.317805961472914e-05,,,,4.995752533432096e-05,-2.044983148152824e-06
77.181,28.443,,,,4.487894693738781e-05,0.0002182316675316,,,,2.3969476387719624e-05,-5.153503479959909e-06
77.192,28.443,,-2.990315806528088e-05,,5.996855179546401e-05,0.0002065640001092,,,,-3.0565749966626754e-06,8.294710823975038e-06
77.202,28.443,,-1.2870742466475347e-05,,,0.0001242774160346,,,,4.875060312770074e-06,
77.213,28.443,,-3.130877666990273e-05,,5.964876618236303e-05,-3.1325402233051136e-05,,,,1.3829932868247852e-05,-1.7770038539310917e-05
77.223,28.443,,,,,0.0001231895876117,,,,2.3658009013161063e-05,9.003118066175375e-06
77.233,28.443,,-3.053975888178684e-05,,,4.1332295950269327e-05,,,,0.0001270055217901,
77.244,28.443,,-5.032412082073279e-05,,0.0002412573812762,5.4801323130959645e-05,,,,-1.943634515555459e-06,7.389908569166437e-05
77.129,28.453,,,,,5.290849367156625e-05,,,,7.13651888872846e-06,-5.425566087069456e-06
77.14,28.453,,,,,0.0002138180716428,,,,1.1461407666502056e-05,6.492408829217311e-06
77.15,28.453,,-2.4215044049924472e-06,,5.3569525334751233e-05,-9.444986972084736e-06,,,,3.7231671740300953e-05,-2.044983148152824e-06
77.161,28.453,,1.1702041291528077e-07,,,6.225919787539169e-05,,,,-3.3730652830854524e-06,-5.153503479959909e-06
77.171,28.453,,-1.5259918654919602e-05,,,-1.2018870165775295e-06,,,,-2.945924734376604e-06,8.294710823975038e-06
77.181,28.453,,-1.5268904007825768e-06,,5.858863369212486e-05,0.0001216676464537,,,,5.495337973115966e-06,-1.0280689366481963e-06
77.192,28.453,,,,,-1.9115450413664803e-05,,,,1.2896901353087742e-05,0.000273983052466
77.202,28.453,,,,,3.5300865420140326e-05,,,,0.0001555757626192,
77.213,28.453,,-2.4968288926174864e-05,,,7.134789484553039e-05,,,,7.184387868619524e-06,-1.527352287666872e-05
77.223,28.453,,-2.878302075259853e-05,,5.996855179546401e-05,5.702243652194738e-05,,,,3.682916940306313e-05,8.281144982902333e-05
77.233,28.453,,-2.3826361939427443e-05,,,5.777181650046259e-05,,,,6.19691581960069e-06,0.0002073985087918
77.119,28.463,,3.346628727740608e-05,,6.556338485097513e-05,9.970902465283872e-05,,,,6.478822615463287e-05,6.492408829217311e-06
77.129,28.463,,1.0547732927079778e-05,,5.744892041548155e-05,6.437953561544418e-05,,,,0.0002243340422865,-2.044983148152824e-06
77.14,28.463,,-1.2870742466475347e-05,,,0.000194964944967,,,,8.933734352467582e-05,-3.370421472936869e-05
77.15,28.463,,,,0.0002442575932946,0.0002258342137793,,,,7.343231573031517e-06,0.000304227694869
77.161,28.463,,-3.130877666990273e-05,,5.719576438423246e-05,0.0001839027536334,,,,0.0001313291868427,
