longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.233,28.443,6.544043571921065e-05,-8.16191386547871e-05,-1.0026804375229403e-05,2.709172258619219e-05,6.044354449841194e-06,3.695806299219839e-05,-1.7583015505806543e-05,1.7827425836003385e-05,-9.327692168881184e-06,,-2.457268919897615e-06,4.492422931434703e-07,7.372071195277385e-06
77.244,28.443,0.0001397101877955,9.087624675885309e-06,-1.0935019417956935e-05,1.2368251191219317e-05,1.616379086044617e-05,1.6679929103702307e-05,1.494352090958273e-07,-0.0001226270833285,-2.641126593516674e-05,,3.771296178456396e-05,2.9144762265786994e-06,1.4715908946527634e-05
77.129,28.453,0.0001602527918294,-1.5787054508109577e-05,1.224793777510058e-05,3.078246663790196e-05,1.1387412996555211e-05,1.8049056961899623e-05,-1.0404156682852772e-06,1.968489959836006e-05,-1.2813048670068383e-05,-1.614777465874795e-05,3.331218977109529e-05,1.4729117538081482e-05,3.009125248354394e-05
77.14,28.453,1.45934409374604e-05,1.0533635759202298e-05,1.8461769286659543e-05,2.157973540306557e-05,9.401795068697538e-06,6.431637302739546e-05,-1.0404156682852772e-06,0.0002364224783377,-1.5295090634026565e-05,-2.539664819778409e-05,3.1142910302150995e-05,1.182067262561759e-05,3.070852835662663e-05
77.15,28.453,1.81811901711626e-05,-1.2817778952012304e-05,5.245146439847304e-06,1.4130204363027588e-05,3.888614628522191e-06,2.438089177303482e-05,-1.0404156682852772e-06,8.710716770110594e-07,-9.31419253902277e-06,3.671890738132788e-07,-4.2400579047807696e-08,1.3069166016066449e-05,1.3429307728074493e-05
77.161,28.453,-6.831092377979076e-06,,-4.893879122391809e-06,1.4954181096982213e-05,3.008089879585896e-05,1.7971033230423927e-05,,-9.00690611160826e-06,-1.811611400626134e-05,-1.5645027815480717e-05,2.001201755774673e-05,6.35150536254514e-06,4.501323564909399e-05
77.171,28.453,5.110263737151399e-05,6.066150035621831e-06,-1.0948452654702123e-05,3.480516534182243e-05,2.207030775025487e-06,2.184013465011958e-05,-1.0404156682852772e-06,9.117959962168244e-06,-1.0428963150843629e-06,-2.787315906971344e-06,2.3064470951794647e-05,1.0535120964050291e-05,4.303169043851085e-05
77.181,28.453,2.1528958313865587e-05,-1.2525306374300271e-05,1.659516215113399e-06,2.8497681341832504e-05,1.5652265574317425e-05,1.659941699472256e-05,5.656603207171429e-06,3.4531708479335066e-06,-7.074056156852748e-06,,4.967359018337447e-06,-1.9243503629695624e-05,3.0170025638653897e-05
77.192,28.453,6.36563272564672e-05,2.1210918930592012e-05,2.373630422880524e-06,4.818526213057339e-05,7.612498848175164e-06,3.531684342306107e-05,-4.801851537195034e-05,6.015004692017101e-05,-1.0262238902214447e-05,-9.792121090868022e-06,6.963733085285639e-06,7.210605417640181e-06,1.8424459995003417e-05
77.202,28.453,4.017894298158353e-06,2.994680471601896e-06,1.252997844858328e-05,0.0001070656435331,1.6527790648979135e-05,2.1988633307046257e-05,4.158755018579541e-06,5.855405561305815e-06,-7.846966582292225e-06,,2.029841380135622e-05,6.694571766274748e-06,2.1136836949153803e-05
77.213,28.453,-1.515684289188357e-05,-1.0926210961770266e-05,1.0017366548709106e-05,2.7333544494467787e-05,-1.2251739462953992e-06,2.371463415329345e-05,2.3026297640171837e-05,6.127575602477009e-07,-9.571891496307217e-06,-2.680003126442898e-05,2.128570304194e-05,2.6973833882948384e-05,2.912720628955867e-05
77.223,28.453,4.2827712604776025e-05,1.5123840967135038e-05,-7.417347092086857e-07,1.0933537851087747e-05,1.0167657819692977e-05,1.6674324797349982e-05,-1.1704657936206786e-06,-1.5656175946787698e-06,-9.841173778113443e-06,-9.015619070851244e-06,4.909719336865237e-06,8.288070603157394e-06,3.88965017918963e-05
77.233,28.453,2.908149872382637e-05,-2.688565473363269e-05,9.276238415623084e-06,2.039816899923608e-05,5.933959619142115e-05,3.197900150553323e-05,4.325906502344878e-06,5.285040970193222e-06,-1.430504835298052e-05,-4.4851931306766346e-05,4.909719336865237e-06,-9.819625574891688e-07,6.839736306574196e-05
77.119,28.463,4.444494697963819e-05,-7.011239358689636e-05,-9.44865769270109e-06,1.3135323570168111e-05,3.185628202118096e-06,2.793882231344469e-05,-4.801851537195034e-05,-3.323654527775943e-05,-5.5581062952114735e-06,-2.787315906971344e-06,1.694481761660427e-05,2.8054242648067884e-05,4.619482206180692e-05
77.129,28.463,7.823416672181338e-05,1.0726652362791356e-05,-1.2782742487615906e-05,3.0504426831612363e-05,3.321907570352778e-05,2.9705077395192347e-05,8.524930308340117e-07,4.0419752167508715e-07,,,1.902294206956867e-05,-5.731514647777658e-06,1.764184344210662e-05
77.14,28.463,0.0002610134251881,-2.500010850781109e-06,-2.5299261778855e-06,1.201075610879343e-05,1.0331372322980314e-05,1.1991202882200014e-05,8.524930308340117e-07,-5.773518978458014e-07,-2.0318213501013812e-05,,1.1381020158296453e-05,-7.214182005554903e-06,1.7276583093916997e-05
77.15,28.463,0.0003818525001406,8.721142876311205e-06,1.3943241583547206e-06,1.877548129414208e-05,3.3908188470377354e-06,5.299616168485954e-05,2.171559390262701e-05,8.406664164795075e-06,-9.571891496307217e-06,,5.1084884034935385e-05,8.004351002455223e-06,4.775824709213339e-05
77.161,28.463,1.0915770189967589e-06,-5.13527766088373e-07,-1.189956037705997e-06,2.5722440113895573e-05,2.862761448341189e-06,1.4073093552724458e-05,2.156981827283744e-05,-4.067166173626902e-06,-8.090968549367972e-06,,5.871426765224896e-06,4.611019903677516e-05,5.7566940085962415e-05
77.171,28.463,0.0001493056333856,5.841307938680984e-06,6.258256689761765e-06,2.470985964464489e-05,1.8102475223713554e-05,6.431637302739546e-05,-7.131358870537952e-05,-3.825662861345336e-05,-5.896573929931037e-05,,3.6666824598796666e-05,1.6920370399020612e-05,3.221758743165992e-05
77.181,28.463,1.0523446690058336e-05,1.1665040801744908e-05,4.070657723787008e-06,0.0001323031756328,4.368253030406777e-06,2.438089177303482e-05,,0.0001061788789229,-9.11224924493581e-06,,3.4432166557962773e-06,3.553387432475574e-05,3.040146293642465e-05
77.192,28.463,0.0005031069158576,,1.2449518180801531e-05,2.3901835447759368e-05,-3.979258508479688e-06,2.523748298699502e-05,-4.5401651732390746e-05,1.8872719920182132e-07,-4.478702521737432e-06,-4.4851931306766346e-05,9.388641046825796e-06,9.95619393506786e-06,1.948313911270816e-05
