longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.098,28.512,4.910312782158144e-05,1.5703011740697548e-05,-1.3289558182805197e-06,4.516271656029858e-05,1.0779343028843869e-05,,
77.109,28.512,0.0003051203384529,1.4125939742370974e-05,2.2553866074304096e-05,1.1562162399059162e-05,3.392621238162974e-06,1.5096775314304978e-05,
77.119,28.512,2.8423432013369165e-05,9.80098957370501e-06,,2.423981459287461e-05,1.9417275325395167e-05,1.1377472219464836e-05,
77.129,28.512,0.0001079182038665,,,6.258743087528273e-05,2.4150674562406493e-06,2.40091685554944e-05,
77.14,28.512,7.360876770690084e-05,1.3985849363962188e-05,,1.5894498574198224e-05,-4.873134912486421e-06,,
77.15,28.512,5.2544586651492864e-05,1.5035158867249264e-05,5.278912794892676e-06,4.958406498190016e-05,-3.7753516153316018e-06,1.1377472219464836e-05,
77.161,28.512,1.9824105038424022e-05,8.99756014405284e-06,1.0359104635426776e-05,7.020305201876909e-05,3.527293529259623e-06,9.492231583863033e-06,
77.171,28.512,4.454880763660185e-05,6.263720570132136e-05,-1.090112505153229e-06,1.26552095025545e-05,,9.492231583863033e-06,
77.181,28.512,2.7288062483421527e-05,1.2773306480085012e-05,1.5267692106135655e-06,1.2556673027575016e-05,-1.6734438759158365e-05,9.492231583863033e-06,
77.192,28.512,1.5871188224991783e-05,9.990920261770952e-06,2.054183369182283e-06,7.366514182649553e-05,1.8237111362395808e-05,1.3640556062455287e-05,
77.202,28.512,1.4281056792242453e-05,1.504545707575744e-05,1.486956193730293e-06,4.982886093785055e-05,-3.208310090485611e-06,1.0987006135110278e-05,
77.213,28.512,-1.082541530195158e-06,1.5042288396216463e-05,1.352288450107153e-06,5.5745902500348166e-05,-3.028511673619505e-05,,
77.223,28.512,,2.2757774786441587e-05,-6.751566161256051e-06,5.368174606701359e-05,-9.1317378974054e-06,,
77.233,28.512,1.7350263078697026e-05,2.460865289322101e-05,9.84955477179028e-06,1.2420464372553395e-05,-4.995953077013837e-06,1.377180979034165e-05,
77.244,28.512,1.8132453988073397e-05,1.7615586330066435e-05,1.3934868547949009e-05,1.5096542483661324e-05,1.6697755199857056e-05,,
77.254,28.512,7.386614015558735e-05,9.101751857087947e-06,8.188672836695332e-06,4.200523835606873e-05,,,
77.264,28.512,1.7432595996069722e-05,1.169929419120308e-05,,1.013517703540856e-05,5.531050646823132e-06,8.202241588151082e-05,
77.275,28.512,3.271377863711677e-06,1.2625629096874036e-05,,,9.574002888257382e-07,,
77.285,28.512,,1.5820553016965277e-05,1.2482731108320875e-05,2.5513012587907724e-05,4.057915248267818e-06,1.5471872757188976e-05,
77.296,28.512,1.3733111700275911e-05,1.4247122635424604e-05,4.8124802560778335e-06,7.133270264603198e-05,2.198222864535637e-05,,
77.306,28.512,5.546204647544073e-06,1.5303612599382177e-05,-1.965053542107853e-07,1.1733573956007604e-05,-3.098118759226054e-05,0.0001224948937306,
77.316,28.512,,1.001209511741763e-05,2.339331558687263e-06,,,1.5471872757188976e-05,
77.327,28.512,1.494547541369684e-05,1.6882522686501034e-05,,1.1445439668023027e-05,1.6442885680589825e-05,,
77.337,28.512,0.0001183221829705,0.0001123920301324,1.3406526022663456e-06,4.77495341328904e-05,2.528519144107122e-05,1.5471872757188976e-05,
76.891,28.522,2.072397001029458e-05,1.0613302038109396e-05,7.181201908679213e-06,1.6218078599194996e-05,1.0389303497504445e-05,,
76.901,28.522,6.680201749986736e-06,,,1.5995881767594256e-05,1.4914257008058485e-05,9.348923413199373e-06,
76.911,28.522,-6.4515447775193024e-06,1.185973633255344e-05,1.2556746469272184e-06,7.469855336239561e-05,6.737354397046147e-06,1.663511102378834e-05,
76.922,28.522,,1.4150328752293715e-05,-2.687590267669293e-06,,1.822741978685372e-06,1.663511102378834e-05,
76.932,28.522,2.0359493646537885e-05,,1.5106309547263663e-05,,,7.158580501709366e-06,
76.943,28.522,,1.600064024387393e-05,4.714325768873096e-06,1.98516918317182e-05,-4.4276571316004265e-06,2.219365160271991e-05,
76.953,28.522,,2.525157469790429e-05,-8.339098371834552e-07,1.3898101315135136e-05,1.1797416846093256e-05,,
76.963,28.522,1.2422854524629656e-05,3.894529436365701e-05,,7.282779552042484e-05,1.263335207113414e-06,,
76.974,28.522,4.8659461754141375e-05,9.753798622114118e-06,8.50177002575947e-06,7.068856211844832e-05,,,
76.984,28.522,9.751917787070852e-06,1.2689091818174347e-05,,1.6188943845918402e-05,8.574184903409332e-06,1.2120354767830577e-05,
76.994,28.522,3.569684849935584e-05,8.579060704505537e-06,,5.684285497409292e-05,,1.2120354767830577e-05,
77.005,28.522,5.882046389160678e-05,2.405222585366573e-05,1.3107718359606224e-06,5.707396485377103e-05,-6.420872523449361e-06,1.3352202586247586e-05,
77.015,28.522,2.281671186210588e-05,8.30912176752463e-06,4.007701136288233e-06,3.9337097405223176e-05,-1.0973571079375688e-05,9.949978993972763e-05,
77.057,28.522,6.298240623436868e-05,1.4036869288247544e-05,1.096381038223626e-05,8.981623068393674e-06,1.1135654858662749e-05,1.1960189112869555e-05,
77.067,28.522,1.0078447303385474e-06,1.2981911822862456e-05,-1.011545828077942e-05,6.372939969878644e-05,1.192482159240171e-06,1.072581835614983e-05,
77.078,28.522,3.181356441928074e-05,1.0331285011488944e-05,1.2453073168217088e-06,6.750583270331845e-05,7.4682948252302594e-06,5.170905751583632e-06,
77.088,28.522,1.9262037312728356e-05,2.056239645753521e-05,,8.265910764748696e-06,,0.0001107326461351,
77.098,28.522,,1.0465536433912348e-05,1.2506881752472054e-08,3.4873723052442074e-05,1.9417275325395167e-05,8.471233013551682e-05,
77.109,28.522,1.7477515939390287e-05,1.722855267871637e-05,,,4.20614469476277e-06,,
77.119,28.522,2.184154436690733e-05,9.62844569585286e-06,6.935217697900953e-06,1.6027861420297995e-05,,1.3339686120161788e-05,
77.129,28.522,2.174718611058779e-05,7.918711344245821e-05,-3.3424792036385043e-06,6.908671639394015e-05,3.83147749971613e-07,6.277015927480534e-05,
