longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
76.88,28.58,-5.322417109709932e-06,1.2963971130375285e-05,4.037170242554567e-07,0.0001086035190382,,1.3957091141492128e-05,
76.891,28.58,5.9525336837396026e-05,1.058125326380832e-05,6.331359145406168e-06,6.610316177102504e-06,-1.003727720672032e-05,8.492804772686213e-05,
76.901,28.58,2.3488082661060616e-05,1.2673445780819748e-05,,0.0001195283475681,-2.138154741260223e-06,,
76.911,28.58,2.2310779968393035e-05,1.4913467566657346e-05,,5.615922418655828e-05,,9.784552821656688e-05,
76.922,28.58,6.999089237069711e-06,1.6052834325819276e-05,3.759608034670237e-06,8.338677434949204e-05,-2.655257776496001e-05,1.3957091141492128e-05,
76.932,28.58,0.0001528754510218,9.725989912112707e-06,1.7570516774867428e-06,2.0341944036772475e-05,-3.7753516153316018e-06,1.3957091141492128e-05,
76.943,28.58,3.825773455901072e-05,6.0521142586367205e-05,1.7843965451902475e-06,2.166848389606457e-05,1.7220882000401616e-05,1.4276252841227688e-05,
76.953,28.58,1.4178998753777703e-05,2.2538635676028207e-05,-9.626431165088434e-06,0.0001154915516963,-5.644666998705361e-06,1.1541165804374032e-05,
76.963,28.58,0.0001492430455982,1.0329194083169568e-05,-2.132271447408129e-06,7.198653293016832e-06,-8.796660040388815e-06,1.2463498933357188e-05,
76.974,28.58,1.7477515939390287e-05,2.325103741895873e-05,,2.0180936189717613e-05,2.712560308282264e-05,1.4937880223442336e-05,
76.984,28.58,0.0001886700483737,1.0235176887363195e-05,-1.366680680803256e-05,1.4747095519851428e-05,4.139391478474863e-07,1.3957091141492128e-05,
76.994,28.58,0.0001173335258499,9.80194909061538e-06,3.932137769879773e-05,3.164103691233322e-05,-8.991022696136497e-06,1.3957091141492128e-05,
77.005,28.58,1.922190313052852e-05,2.5682704290375117e-05,2.189665337937185e-06,6.365569424815476e-05,,8.608199095760938e-06,
77.015,28.58,4.289144271751866e-06,1.302795863011852e-05,8.869123121257871e-06,2.415806011413224e-05,7.118072062439751e-06,,
77.026,28.58,-1.595018147781957e-06,1.6574211258557625e-05,9.537772712064909e-06,1.708355739538092e-05,,1.3957091141492128e-05,
77.036,28.58,4.214722139295191e-06,4.069642454851419e-05,9.592735295882449e-06,1.8434147932566702e-05,,8.887342119123787e-06,
77.046,28.58,4.626484223990701e-05,1.3164513802621514e-05,1.2482731108320875e-05,7.23267366993241e-05,5.662235707859509e-06,2.622511783556547e-05,
77.057,28.58,,,1.1289670283076705e-06,2.0635558030335236e-05,1.0006958291342016e-05,1.3957091141492128e-05,
77.067,28.58,-2.109163688146509e-05,1.2520839845819864e-05,1.0436354386911262e-05,4.413289207150228e-05,7.720268513367046e-06,,
77.078,28.58,2.8108737751608714e-05,7.788624316162895e-06,6.991922873567091e-06,0.0001310741208726,5.125907136971364e-06,1.3957091141492128e-05,
77.088,28.58,0.0001292381202802,6.884920821903506e-06,2.339331558687263e-06,1.5317571524064988e-05,5.9980261539749335e-06,1.3957091141492128e-05,
77.098,28.58,0.0001313184475293,7.479704436264001e-06,-3.007359509865637e-06,8.052271004999056e-05,7.446214567607967e-06,,
77.109,28.58,3.383140210644342e-05,8.352248187293299e-06,3.5450775612844154e-05,1.6736290490371175e-05,,1.4416231351788156e-05,
77.119,28.58,1.7432595996069722e-05,1.8152199118048884e-05,3.6679232096048515e-08,7.1018403104972094e-06,1.5115512724150904e-05,1.1314970834064296e-05,
77.129,28.58,2.334221062483266e-05,1.5391307897516526e-05,-2.865834858312155e-06,1.63068798428867e-05,1.220711624227988e-06,,
77.14,28.58,2.469883838784881e-05,1.4150328752293715e-05,2.650298824846687e-07,8.214828267227858e-05,-3.29229897033656e-06,,
77.15,28.58,2.9881057344027795e-05,1.849239197326824e-05,3.438063913563383e-06,2.0985669834772125e-05,,1.3957091141492128e-05,
77.161,28.58,2.219576890638564e-05,7.630806794622913e-05,3.403474693186581e-07,1.300474104937166e-05,2.163529825338628e-05,1.3957091141492128e-05,
77.171,28.58,,1.352487743133679e-05,3.338904934935272e-05,,-8.72587747835496e-07,1.3957091141492128e-05,
77.181,28.58,1.4653463949798606e-05,8.071117918007076e-06,8.002047593436146e-07,4.303167588659562e-05,-4.335527592047583e-06,1.2885281648777893e-05,
77.192,28.58,2.359448990318924e-05,1.21683315228438e-05,3.219104428353603e-06,,-1.9009477910003625e-05,1.3957091141492128e-05,
77.202,28.58,3.207659392501228e-05,9.990473699872382e-06,4.457706836547004e-06,1.24506814245251e-05,7.788720722601283e-06,9.03053442016244e-05,
77.213,28.58,0.0001308022765442,1.2929971489938907e-05,-2.1583487978205085e-05,1.6518160919076763e-05,1.2484850913097034e-06,,
77.223,28.58,1.8960005036205985e-05,8.874697414285038e-06,4.076303241618008e-07,1.0656654922058806e-05,,,
77.233,28.58,0.0001052651277859,,4.399593933612778e-07,4.252641519997269e-05,3.0911783142073546e-06,0.0001074094398063,
77.244,28.58,1.5806299415999092e-05,,,6.73752001603134e-05,-4.556044586934149e-06,8.528602847945876e-06,
77.254,28.58,1.4317628483695444e-05,,1.7899337763083167e-06,3.841041325358674e-05,2.260605469928123e-06,1.3957091141492128e-05,
77.264,28.58,0.0001274716923944,,-1.7448592188884504e-05,6.182199285831302e-05,1.096431105906959e-06,1.2978687664144672e-05,
77.275,28.58,1.7075744835892692e-05,1.0331285011488944e-05,8.941646228777245e-06,1.0577844477666076e-05,7.734037353657186e-06,,
77.285,28.58,2.892625161621254e-06,6.284412665991113e-05,5.3887488320469856e-05,8.87224632606376e-06,-7.480941349058412e-06,,
77.296,28.58,,1.2245641300978605e-05,2.8138449579273583e-06,1.2074891856173052e-05,-4.100214027857874e-06,1.9577229977585372e-05,
76.87,28.59,4.379602978588082e-05,2.3534534193458967e-05,1.7843965451902475e-06,4.454424924915656e-05,3.392621238162974e-06,,
76.88,28.59,9.009999303088987e-06,1.2575822438520843e-05,-7.214306378955371e-07,1.0142355677089654e-05,-2.7360500098438933e-05,,
76.891,28.59,2.7951393349212594e-05,1.0994216609105932e-05,,4.6389715862460434e-05,9.619470802135766e-07,,
76.901,28.59,6.999089237069711e-06,1.0704468877520412e-05,-1.9575479655031813e-06,1.752890966599807e-05,,4.843622809858061e-05,
76.911,28.59,1.883053846540861e-05,1.2963971130375285e-05,2.1259524146444164e-05,5.773231532657519e-05,,,
76.922,28.59,2.475981818861328e-05,1.058125326380832e-05,,6.527732330141589e-05,3.888206629198976e-05,,
76.932,28.59,0.0001141319444286,1.2673445780819748e-05,5.651357241731603e-06,1.7475607819505967e-05,1.0779343028843869e-05,,
76.943,28.59,0.0001492430455982,1.404059639753541e-05,2.751916099441587e-06,1.092247293854598e-05,1.9417275325395167e-05,1.3922925063525328e-05,
76.953,28.59,7.617365918122232e-05,1.2576232620631345e-05,,,-3.166411488564336e-07,8.153689122991636e-06,
76.963,28.59,4.177761638857192e-06,2.347160261706449e-05,3.863435267703608e-06,,1.1724288242476175e-06,1.3709275663131848e-05,
76.974,28.59,1.9262037312728356e-05,3.481049861875363e-05,2.5895158614730462e-05,3.1350209610536695e-05,-1.8407736206427217e-06,,
76.984,28.59,0.0001079182038665,7.994736733962782e-06,5.122304719407112e-05,,1.200053702632431e-05,1.1603048733377364e-05,
76.994,28.59,,1.87725145224249e-05,-6.763091278116917e-07,1.6776124539319426e-05,1.4662613466498442e-05,1.3709275663131848e-05,
77.005,28.59,9.482333553023636e-06,7.459110292984405e-06,,3.05198882415425e-05,2.3045720809022896e-05,1.3458705325319896e-05,
77.015,28.59,7.186135917436332e-05,1.4511672816297503e-05,1.5250274373102002e-05,7.07666331436485e-05,8.014339073270094e-06,6.178153853397816e-06,
77.026,28.59,,9.80194909061538e-06,,1.2538387636595871e-05,-1.0160923011426348e-05,6.178153853397816e-06,
77.036,28.59,0.0001095106490538,1.0741673577285836e-05,1.0436354386911262e-05,1.7509299141238444e-05,-9.611682116883458e-09,,
77.046,28.59,1.5945710401865654e-05,1.302795863011852e-05,,5.0763090257532895e-05,1.6697755199857056e-05,6.178153853397816e-06,
77.057,28.59,0.0001227252359967,1.6574211258557625e-05,2.339331558687263e-06,1.6636298823868856e-05,-1.171585381598561e-06,6.178153853397816e-06,
77.067,28.59,2.227053300885018e-05,1.0183832273469308e-05,3.6679232096048515e-08,6.365569424815476e-05,7.446214567607967e-06,,
77.078,28.59,1.700170884078034e-07,1.3164513802621514e-05,,3.066493445658125e-05,,1.9970862922491502e-05,
77.088,28.59,0.000131487919134,1.010808136925334e-05,,1.8434147932566702e-05,1.5091304703673811e-06,1.4937880223442336e-05,
77.098,28.59,7.049980922602117e-05,1.976632484002039e-05,,4.587171133607626e-05,2.1528032448259186e-05,,
77.109,28.59,6.501716416096315e-05,,9.637045877752826e-06,2.0635558030335236e-05,5.004223112337058e-06,7.95767209638143e-06,
77.119,28.59,1.4853048924123868e-05,1.5326166248996742e-05,-6.031382326909807e-07,3.486752393655479e-05,,6.329627922241343e-06,
77.129,28.59,1.9707576939254068e-05,2.9736265787505545e-05,8.002047593436146e-07,0.0001090855439542,,9.811909876589198e-06,
77.14,28.59,,9.684256838227157e-06,4.814879503101111e-06,2.1598836610792205e-05,,1.4426868801820092e-05,
77.15,28.59,-2.343281994399149e-05,6.818782367190579e-06,1.5571751646348275e-05,9.0545836428646e-06,-4.335527592047583e-06,1.1541165804374032e-05,
77.161,28.59,5.174292891751975e-05,1.270518623641692e-05,,1.6218078599194996e-05,-2.399108893769153e-07,,
77.171,28.59,-7.358022230619099e-06,1.7090462279156782e-05,-2.1583487978205085e-05,1.742096537782345e-05,5.7732077038963325e-06,,
77.181,28.59,1.999059713853057e-05,1.319004422839498e-05,-2.650311216711998e-06,5.679735841113143e-05,-1.1431342500145549e-05,0.0001567162398714,
77.192,28.59,0.0001314840192208,7.024475507932948e-06,-1.6688026107658516e-06,5.679735841113143e-05,-9.47218359215185e-06,8.608199095760938e-06,
77.202,28.59,5.565213723457418e-05,1.352487743133679e-05,5.569278528128052e-06,1.7368136468576267e-05,,0.0001448805996915,
77.213,28.59,0.0001052651277859,1.1873143193952274e-05,5.759989562648116e-06,1.71933770616306e-05,-4.556044586934149e-06,,
77.223,28.59,1.921202419907786e-05,8.579060704505537e-06,6.408003514479788e-07,5.422283720690757e-05,2.260605469928123e-06,,
77.233,28.59,2.976290670630988e-05,9.990473699872382e-06,,4.303167588659562e-05,8.522034477209672e-06,,
77.244,28.59,2.5927951355697587e-05,1.2929971489938907e-05,2.122158548445441e-06,,-3.6456625821301714e-05,8.887342119123787e-06,
77.254,28.59,1.851426532084588e-05,,,1.4424715118366294e-05,1.3671578926732764e-05,1.1314970834064296e-05,
77.264,28.59,1.828434324124828e-05,1.9046869056182917e-05,,2.0813604351133108e-05,,,
77.275,28.59,0.0001388117525493,1.3943414160166869e-05,,0.0001010428750305,1.209000856761122e-05,0.0001016669339151,
77.285,28.59,1.7330428818240762e-05,1.8604445358505476e-05,1.465915715925803e-06,,-7.259125595737714e-06,1.3049903827777598e-05,
77.296,28.59,6.0323236539261416e-06,,-3.3474368592578685e-06,6.73752001603134e-05,1.6387473806389607e-05,9.78791831585113e-06,
77.306,28.59,9.700626833364367e-05,,1.8270033251610585e-05,1.885029269033112e-05,4.719443325029715e-07,9.78791831585113e-06,
76.88,28.6,6.999089237069711e-06,8.231451829487924e-06,3.2668415315129096e-06,2.09365134651307e-05,,1.6612679246463813e-05,
76.891,28.6,-5.186628186493181e-06,9.218357263307553e-06,,1.0043327165476512e-05,3.9324064005086257e-07,1.6612679246463813e-05,
76.901,28.6,-6.5763583734224085e-06,1.1560779057617763e-05,2.701739049371099e-06,,3.888206629198976e-05,1.6612679246463813e-05,
76.911,28.6,,1.9158082068315707e-05,1.5267692106135655e-06,4.050787174492143e-05,1.7069205568986945e-05,,
76.922,28.6,1.4307205674413126e-05,1.6897087334655225e-05,2.4325490812771022e-05,,3.8048615351726767e-06,1.4601370821765158e-05,
76.932,28.6,2.489677535777446e-05,1.0419585123599973e-05,6.72926626066328e-06,,8.962132937995193e-07,1.4601370821765158e-05,
76.943,28.6,0.000374697119696,1.2728531146422029e-05,2.4521101295249537e-05,1.9375938791199587e-05,1.7435544350519194e-06,1.4601370821765158e-05,
76.953,28.6,1.733031422190834e-05,1.058125326380832e-05,4.796824578079395e-05,5.7459710660623387e-05,,1.6612679246463813e-05,
76.963,28.6,0.0001198788304463,2.0037034119013697e-05,1.2483516911743209e-05,8.909305506676901e-06,-4.088435161975212e-06,1.425555001333123e-05,
76.974,28.6,8.411237786276615e-07,3.062262840103358e-05,6.407334694813471e-06,1.6793068425613455e-05,4.310452823119704e-06,1.1964368241024204e-05,
76.984,28.6,2.1975793060846627e-05,5.523721029021544e-06,-5.535557193070417e-06,9.721774404169992e-06,-1.0160923011426348e-05,1.1964368241024204e-05,
76.994,28.6,,1.0710113201639617e-05,,1.232506474480033e-05,,1.1964368241024204e-05,
77.005,28.6,0.0001142342516686,1.2008910744043533e-05,3.439664624238503e-06,6.527732330141589e-05,1.0006958291342016e-05,1.1964368241024204e-05,
77.015,28.6,1.6597583453403786e-05,5.819567832077155e-06,,0.0001086035190382,-9.52221489569638e-06,,
77.026,28.6,,1.1153120794915594e-05,3.5450775612844154e-05,7.499573985114694e-05,-1.171585381598561e-06,9.78791831585113e-06,
77.036,28.6,6.744662186974892e-06,2.2538635676028207e-05,3.8451773434644565e-05,8.405963308177888e-05,9.718447472550906e-06,,
77.046,28.6,2.176672387577128e-05,1.535895535198506e-05,9.637045877752826e-06,6.207307160366327e-05,,,
77.057,28.6,0.0001068709680112,1.2757565855281428e-05,-6.048317118256819e-07,5.404708645073697e-05,9.619617230782753e-06,0.0001201039267471,
77.067,28.6,8.220928066293709e-06,1.629881444387138e-05,4.457706836547004e-06,4.4480151700554416e-05,1.3812184079142751e-05,1.5547584553132765e-05,
77.078,28.6,-1.0667972674127668e-05,1.302795863011852e-05,8.002047593436146e-07,,,,
77.088,28.6,9.970227256417274e-05,9.14237716642674e-06,7.223111879284261e-06,0.0001154915516963,1.940672973432811e-06,,
77.098,28.6,8.426517160842195e-05,1.0235414265480358e-05,2.8574388579727383e-06,3.393145016161725e-05,,1.405779676133534e-05,
77.109,28.6,2.9881057344027795e-05,1.3164513802621514e-05,3.5225941701355623e-06,2.415806011413224e-05,2.448648729114211e-06,8.658677870698739e-06,
77.119,28.6,-2.343281994399149e-05,1.3531977856473532e-05,1.362832904305833e-06,5.744479858549312e-05,-4.335527592047583e-06,1.1603048733377364e-05,
77.129,28.6,4.681654536398128e-05,4.069642454851419e-05,1.755533230607398e-05,8.206007805711124e-06,2.933148243755568e-05,5.401861562859267e-05,
77.14,28.6,3.322124757687561e-05,1.9286286260467023e-05,5.759989562648116e-06,1.729180439724587e-05,-2.399108893769153e-07,9.97572424239479e-05,
77.15,28.6,1.1029422239516862e-05,1.542796780995559e-05,5.569278528128052e-06,2.0341944036772475e-05,,1.0954905519611202e-05,
77.161,28.6,1.0017279237217735e-05,1.5326166248996742e-05,1.7899337763083167e-06,,,1.3458705325319896e-05,
77.171,28.6,2.593344106571749e-05,9.684256838227157e-06,2.544014478189638e-06,2.8867831133538857e-05,3.835567440546583e-06,1.4310081496660132e-05,
77.181,28.6,2.570479409769177e-05,1.3523103916668331e-05,-1.7448592188884504e-05,2.1598836610792205e-05,-4.556044586934149e-06,1.4310081496660132e-05,
77.192,28.6,0.0001517129858257,7.204549183370546e-05,1.465915715925803e-06,1.8354456187807955e-05,-3.805614881002839e-07,8.153689122991636e-06,
77.202,28.6,1.5806299415999092e-05,2.514541665732395e-05,9.325282917416187e-06,1.6218078599194996e-05,-7.673415893805213e-07,,
77.213,28.6,2.6088391678058542e-05,2.405222585366573e-05,-2.886736547225155e-05,0.0001310741208726,-5.041571967012715e-06,,
77.223,28.6,2.894665885833092e-05,1.343934127362445e-05,,0.0001310741208726,-1.7367385225952603e-05,9.72236284724204e-06,
77.233,28.6,8.793269080342725e-05,1.2368829629849644e-05,,4.857511612499366e-06,-7.10797576175537e-06,9.72236284724204e-06,
77.244,28.6,,,,1.3898101315135136e-05,6.6159827838419005e-06,9.811909876589198e-06,
77.254,28.6,7.434567669406533e-05,1.523337596154306e-05,,8.052271004999056e-05,-2.309280944245984e-06,6.329627922241343e-06,
77.264,28.6,0.0001255862298421,7.630806794622913e-05,-1.1010617527063005e-05,1.708355739538092e-05,-8.817298294161446e-06,0.0001448805996915,
77.275,28.6,1.4567030120815616e-05,1.2929971489938907e-05,,1.742096537782345e-05,,9.006291293189861e-06,
77.285,28.6,1.5619316400261596e-05,1.4036869288247544e-05,-1.3950506172477617e-06,1.4424715118366294e-05,3.4206575492135016e-06,,
77.296,28.6,0.0001671522331889,1.0916992323473096e-05,,1.98516918317182e-05,-4.454944246390369e-06,1.2463498933357188e-05,
77.306,28.6,0.0001304286270169,1.3943414160166869e-05,-1.7295440557063557e-05,6.474831752711907e-05,2.334862301722751e-06,,
77.316,28.6,-2.2837805317976745e-06,1.398033509758534e-05,8.398326826863922e-06,6.083994230721146e-05,3.4744430195132736e-06,,
77.327,28.6,0.0003521241596899,1.087396412913222e-05,7.656038178538438e-06,6.81779783917591e-05,,1.4276252841227688e-05,
76.88,28.61,0.0001158150262199,1.3637598385685124e-05,1.5267692106135655e-06,6.353644857881591e-05,1.859553049143869e-05,,
76.891,28.61,3.825773455901072e-05,1.6625834177830257e-05,,2.6806774258147925e-05,,1.2018855159112718e-05,
76.901,28.61,,4.636130324797705e-05,,8.566461474401876e-05,,8.1011403381126e-06,
76.911,28.61,,9.532406693324448e-06,4.796824578079395e-05,0.0001028137921821,,8.380285180464853e-06,
76.922,28.61,2.0959947505616583e-05,2.3534534193458967e-05,9.794344805413855e-06,,,8.380285180464853e-06,
76.932,28.61,2.184154436690733e-05,9.218357263307553e-06,2.013636185438372e-05,0.0001010670166579,,8.380285180464853e-06,
76.943,28.61,,2.002111796173267e-05,3.6562573768605935e-06,7.299201388377696e-05,1.4662613466498442e-05,,
76.953,28.61,0.00013872065756,9.64722130447626e-06,,1.0142355677089654e-05,6.8656504481623415e-06,9.72236284724204e-06,
76.963,28.61,0.0001180679464596,6.103420673753135e-05,,8.180069926311262e-06,1.0454722314534592e-06,,
76.974,28.61,4.454880763660185e-05,1.026904647005722e-05,,1.631192208151333e-05,-9.52221489569638e-06,,
76.984,28.61,0.0002789958380162,1.058125326380832e-05,,4.454424924915656e-05,7.720268513367046e-06,2.5172181267407723e-05,
76.994,28.61,0.0001279916905332,9.08596302906517e-06,,1.9375938791199587e-05,5.125907136971364e-06,,
77.005,28.61,7.561862275906606e-06,1.6052834325819276e-05,,4.6389715862460434e-05,2.455280991853215e-06,,
77.015,28.61,1.717084705887828e-05,2.347160261706449e-05,,4.6389715862460434e-05,2.425509228487499e-05,9.95462978607975e-05,
77.026,28.61,7.118760549928993e-05,1.3400376701611094e-05,1.0530207873671316e-05,2.491896702849772e-05,9.619617230782753e-06,,
77.036,28.61,1.4715354154759552e-05,1.3931462490290867e-05,6.389246664184611e-06,1.899636299640406e-05,-9.233131095243152e-06,,
77.046,28.61,1.8952894606627524e-05,,5.632188185700216e-05,5.7459710660623387e-05,1.573732697579544e-05,1.678690932749305e-05,
77.057,28.61,0.0003678239881992,2.008855335589033e-05,8.776561116974335e-06,,-2.813001856338815e-06,4.843622809858061e-05,
77.067,28.61,-1.847026578616351e-05,1.2700277693511453e-05,,1.168842391052749e-05,-1.5311204606405229e-06,,
77.078,28.61,-8.334356493833184e-07,2.2538635676028207e-05,6.501320967799984e-06,1.9894920114893463e-05,1.5963726127665725e-06,1.678690932749305e-05,
77.088,28.61,2.516638232918922e-05,6.0521142586367205e-05,1.362832904305833e-06,5.615922418655828e-05,-7.669243132113479e-06,1.678690932749305e-05,
77.098,28.61,5.43957830814179e-05,2.170059815398417e-05,-1.1154475032526534e-05,1.2538387636595871e-05,-2.0271756966394605e-06,,
77.109,28.61,2.219576890638564e-05,1.302795863011852e-05,6.695195224892814e-06,1.378887191094691e-05,2.734605573095905e-07,6.249352736631408e-06,
77.119,28.61,1.9853130652336404e-05,2.4079807189991698e-05,2.9024788545939373e-06,4.4480151700554416e-05,-2.399108893769153e-07,8.492804772686213e-05,
77.129,28.61,-3.43251440426684e-06,1.668998993409332e-05,,,5.37114010512596e-06,1.928184974531177e-05,
77.14,28.61,0.0001011396379908,9.18111800274346e-06,-1.7448592188884504e-05,,,,
77.15,28.61,,1.3164513802621514e-05,3.0029584650037577e-06,0.0001154915516963,-1.6567381635468337e-06,,
77.161,28.61,0.0002782679803203,9.857222721620928e-06,,4.9120393668999895e-05,8.109845111903269e-06,1.3763276911049616e-05,
77.171,28.61,0.0002375490003032,1.948777207871899e-05,1.1804562745965086e-05,,-3.079285306739621e-05,,
77.181,28.61,,1.542796780995559e-05,5.313708243193105e-06,5.744479858549312e-05,1.096431105906959e-06,1.5547584553132765e-05,
77.192,28.61,6.168925665406277e-06,1.600064024387393e-05,-4.564367372950073e-06,1.3159810805518646e-05,-1.613001586520113e-05,1.5547584553132765e-05,
77.202,28.61,,7.479704436264001e-06,,1.8434147932566702e-05,-7.10797576175537e-06,9.97572424239479e-05,
77.213,28.61,8.793269080342725e-05,8.352248187293299e-06,,1.5317571524064988e-05,-5.90900924635207e-07,,
77.223,28.61,1.828434324124828e-05,1.5391307897516526e-05,2.9982763862790307e-06,2.1598836610792205e-05,7.610421107528964e-06,8.712141425348818e-05,
77.233,28.61,-2.8431397822714644e-06,8.371071999135893e-06,6.395939635694958e-06,1.7566066162544303e-05,3.847943844448309e-06,,
77.244,28.61,0.0001255862298421,1.494503430876648e-05,,6.580042099813e-05,-2.60049073403934e-05,1.1603048733377364e-05,
77.254,28.61,4.035043821204454e-05,1.319004422839498e-05,7.656038178538438e-06,7.23267366993241e-05,,1.3903457329433875e-05,
77.264,28.61,0.0001290057407459,2.66268543782644e-05,2.6353167413617484e-05,2.0101961126783863e-05,-1.2413778677000664e-05,,
77.275,28.61,-2.396663876425009e-05,1.4859069779049603e-05,5.852128197147977e-06,2.3800786948413588e-05,,1.1417802852520254e-05,
77.285,28.61,0.0002621595922391,8.30912176752463e-06,,,5.369658538256772e-06,7.286605978151783e-06,
77.296,28.61,0.0002245151408715,2.2404363335226662e-05,1.8864203639168409e-06,2.5554476451361552e-05,2.0102643247810192e-05,1.3903457329433875e-05,
77.306,28.61,9.852882612904068e-06,7.630806794622913e-05,1.0651179763954133e-05,7.387476944131777e-05,4.932253432343714e-06,1.386897019983735e-05,
77.316,28.61,0.0001232210779562,1.9046869056182917e-05,4.058267677464755e-06,1.4424715118366294e-05,-3.2922591799433576e-06,1.3458705325319896e-05,
77.327,28.61,3.1307405151892453e-05,,-3.4395079637761228e-06,6.187634426169097e-05,-7.508562703151256e-06,1.1964368241024204e-05,
77.337,28.61,3.762262713280506e-05,1.3943414160166869e-05,1.3570961527875625e-06,5.590103683061898e-05,-4.087999332114123e-05,1.1964368241024204e-05,
76.891,28.619,,,6.991922873567091e-06,,,,
76.901,28.619,2.0959947505616583e-05,1.0986870620399714e-05,,,1.7433587345294654e-05,1.928184974531177e-05,
76.911,28.619,9.221001528203487e-05,6.784164725104347e-05,3.8301795939332806e-06,1.3176391803426668e-05,-1.0160923011426348e-05,5.064468496129848e-05,
76.922,28.619,1.2551116014947183e-05,1.4129223018244376e-05,,1.6087051335489377e-05,-1.3565494555223268e-05,9.110293831327e-06,
76.932,28.619,5.046241130912677e-05,,,2.6806774258147925e-05,,6.667439447483048e-05,
76.943,28.619,9.482333553023636e-06,4.636130324797705e-05,4.457706836547004e-06,7.66557059250772e-05,8.014339073270094e-06,,
76.953,28.619,0.000119994758279,1.1560779057617763e-05,2.8138449579273583e-06,3.0202447305782695e-05,-3.427595584071241e-05,,
76.963,28.619,1.976757175725652e-06,1.590370993653778e-05,-3.007359509865637e-06,8.566461474401876e-05,1.0784410733322147e-05,9.420054084330332e-06,
76.974,28.619,1.353533662040718e-05,1.0994216609105932e-05,1.8252467270940544e-06,2.1816806111019105e-05,-3.808727797149914e-06,,
76.984,28.619,4.008861651527696e-05,2.639199919940438e-05,2.349518035771325e-05,7.56119770812802e-05,7.446214567607967e-06,5.984770268696593e-06,
76.994,28.619,1.717084705887828e-05,1.0704468877520412e-05,-4.403543698572321e-06,,6.850151748949429e-06,,
77.005,28.619,0.0001227252359967,1.2963971130375285e-05,4.784619704878423e-06,9.935681009665132e-05,6.443378879339434e-06,7.900758646428585e-06,
77.015,28.619,0.0001292381202802,9.835581295192242e-06,1.465915715925803e-06,,1.940672973432811e-06,8.618406718596816e-05,
77.026,28.619,4.899162377114408e-05,1.404059639753541e-05,,4.050787174492143e-05,-6.675024451396894e-06,1.1417802852520254e-05,
77.036,28.619,0.0001851637061918,1.2732562936434988e-05,,1.9208049707231112e-05,-1.90726641449146e-05,1.1417802852520254e-05,
77.046,28.619,7.386614015558735e-05,1.950210025825072e-05,4.814879503101111e-06,1.9375938791199587e-05,-8.72587747835496e-07,1.1417802852520254e-05,
77.057,28.619,,3.062262840103358e-05,2.7826115456264237e-06,,,,
77.067,28.619,0.0001748609356582,1.675865860306658e-05,2.544014478189638e-06,,-1.710482501948718e-05,8.1011403381126e-06,
77.078,28.619,4.6180703066056594e-05,1.1720761904143728e-05,,,8.656393220007885e-06,,
77.088,28.619,0.0001488211855757,1.3368330655794123e-05,,,-8.475705726596061e-06,,
77.098,28.619,2.47833741013892e-05,2.008855335589033e-05,,7.198653293016832e-06,-1.0595710591587704e-05,6.418576049327385e-06,
77.109,28.619,0.0001573370682308,1.0329194083169568e-05,-1.6688026107658516e-06,1.6776124539319426e-05,1.467684342060238e-06,,
77.119,28.619,0.0001081885129678,9.80194909061538e-06,3.045485982511309e-06,2.491896702849772e-05,-3.6456625821301714e-05,,
77.129,28.619,6.435193063225597e-05,1.3256952115625609e-05,8.941646228777245e-06,1.4747095519851428e-05,-1.4115156773186754e-05,6.418576049327385e-06,
77.14,28.619,-1.7375929019181058e-05,2.9815624657203443e-05,2.9045102564850825e-05,5.615922418655828e-05,3.0911783142073546e-06,7.829254172975197e-05,
77.15,28.619,,7.751714292680845e-06,8.398326826863922e-06,3.05198882415425e-05,-1.7367385225952603e-05,1.2372548553685192e-05,
77.161,28.619,2.421356111881323e-05,1.0235414265480358e-05,3.944514901377261e-06,2.3996284653549083e-05,8.522034477209672e-06,,
77.171,28.619,5.658396275975974e-07,9.18111800274346e-06,4.762625394505449e-06,8.338677434949204e-05,-1.2462027143556045e-06,,
77.181,28.619,2.5927951355697587e-05,1.510374295321526e-05,3.816503522102721e-06,1.9894920114893463e-05,1.3671578926732764e-05,,
77.192,28.619,,1.144956058851676e-05,,,-1.8560813259682615e-05,1.0973986718454398e-05,
77.202,28.619,6.401779955922393e-06,2.3954622520250268e-05,,5.415538544184528e-05,-2.309280944245984e-06,1.0973986718454398e-05,
77.213,28.619,1.928818346641492e-05,1.909815728140529e-05,,0.0001154915516963,6.433374437619932e-06,1.7078220480470918e-05,
77.223,28.619,,1.8152199118048884e-05,,1.3159810805518646e-05,,0.0001201039267471,
77.233,28.619,3.2491454476257786e-05,2.184515869885217e-05,,5.744479858549312e-05,1.047360728989588e-05,1.7078220480470918e-05,
77.244,28.619,2.9519726012949832e-05,1.750583032844588e-05,,1.63068798428867e-05,,1.7078220480470918e-05,
77.254,28.619,2.2817723220214248e-05,2.364738793403376e-05,,1.8434147932566702e-05,-3.5312182262714487e-06,,
77.264,28.619,4.242826253175736e-05,8.371071999135893e-06,-1.7221229427377693e-05,6.123017556092236e-06,-1.3994039363751654e-05,1.1058081327064428e-05,
