longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.306,28.492,1.902876101667061e-05,,1.572963265061844e-05,1.788122972357087e-05,-2.643103243826772e-06
77.316,28.492,2.3424148821504787e-05,,1.6332691302523017e-05,2.4057528207777068e-05,1.6572037566220388e-05
77.327,28.492,1.2153602256148588e-05,5.001035333407344e-06,3.910471150447847e-06,-3.3422618344047805e-06,7.537604233220918e-06
76.891,28.502,5.606924605672248e-05,,2.3446882551070303e-06,6.066944024496479e-06,2.1420889879664173e-06
77.109,28.502,2.870037133106962e-05,,1.328088364971336e-05,4.872585122939199e-05,-1.1763056136260276e-05
77.119,28.502,2.568749914644286e-05,,2.4652820229675854e-06,1.2904155255455407e-06,1.744654764479492e-05
77.129,28.502,0.0001659400732023,,1.659717213442491e-06,3.141385241178796e-05,2.9320483463379787e-06
77.14,28.502,5.402354508987628e-05,,7.303806341951713e-06,9.679219147074036e-06,1.2112564945709892e-05
77.15,28.502,0.0001541748206363,,1.0658435485311202e-06,1.797462027752772e-05,9.464751201448962e-06
77.161,28.502,2.346730798308272e-05,,6.039452728145989e-06,6.59996203467017e-06,5.341069481801242e-06
77.171,28.502,5.02254260936752e-05,,-1.8626163864610133e-06,1.1603808161453344e-05,-1.809993932511134e-07
77.181,28.502,9.509702795185147e-05,,5.686260919901542e-06,1.423976482328726e-05,6.387309440469835e-06
77.192,28.502,7.301224832190201e-05,,4.543322120298399e-06,3.826938154816162e-06,1.0101762200065424e-05
77.202,28.502,8.266850636573508e-05,,1.100286408473039e-05,-1.3871239161744595e-06,7.03894284015405e-06
77.213,28.502,6.501374173240038e-06,,8.976098797575105e-06,3.886998911184492e-06,4.369996077002725e-06
77.223,28.502,1.469563358114101e-05,,7.133395683922572e-06,-1.2494713701016735e-05,6.0939978538954165e-06
77.233,28.502,-2.330642928427551e-06,,8.819231879897416e-06,2.1400575860752724e-05,3.0177518510754453e-06
77.244,28.502,1.6331485312548466e-05,3.363960422575474e-05,3.090774498559768e-06,1.3926760402682705e-05,5.584556106441596e-07
77.254,28.502,1.6809408407425508e-05,,5.472641532833222e-06,1.0803109034895895e-05,1.2669827810896097e-05
77.264,28.502,1.3158481124264654e-05,,6.702684913761914e-07,1.6525260434718803e-05,3.508821691866615e-06
77.275,28.502,0.0001128707081079,,1.7721402400638908e-05,7.1048107201932e-06,6.675458280369639e-06
77.285,28.502,5.871113535249606e-05,,-9.244580724043772e-06,2.379845864197705e-05,5.8158925639872905e-06
77.296,28.502,9.205620153807104e-05,,7.626689694006927e-06,1.4759751138626598e-05,5.962737759546144e-06
77.306,28.502,8.520814299117774e-05,,1.8568523501016896e-06,1.369279925711453e-05,-1.4793748732699896e-06
77.316,28.502,2.0646266420953907e-05,,6.198431037773844e-06,-9.4840070232749e-06,9.996527296607384e-06
77.327,28.502,1.3583113286586013e-05,,-1.699066388027859e-06,1.22317749173817e-06,2.222870170953684e-05
76.891,28.512,8.930405601859093e-05,,1.0208956155111082e-05,1.7967960275200312e-06,1.3300221326062456e-05
76.901,28.512,6.0706614021910354e-05,5.52983374291216e-06,1.9578415049181785e-06,-4.141673798585543e-06,9.522515028947964e-06
76.922,28.512,9.87940511549823e-05,,1.5964034901116975e-05,-6.947520319044997e-07,3.536315034580184e-06
76.932,28.512,1.030410385283176e-05,,1.2656680155487264e-05,1.0107745765708389e-05,1.4205443221726456e-05
76.943,28.512,1.003164015855873e-05,,1.2263027201697696e-05,1.978908585442696e-05,1.4885467862768564e-05
76.953,28.512,2.0747625967487693e-05,,2.666867885636748e-06,3.079394673477509e-06,2.123282001775806e-06
76.963,28.512,0.0001212749775731,,2.708168267417932e-06,2.8909473257954232e-05,1.173414693766972e-05
77.098,28.512,7.1224472776521e-05,6.196647882461548e-05,1.4594167623727117e-05,3.411872603464872e-05,1.7002095091811498e-06
77.109,28.512,2.0699935703305528e-05,,-5.109237463329919e-06,3.145494815726124e-07,5.295852588460548e-06
77.119,28.512,1.7397938790963963e-05,,3.2661178011039738e-06,1.6210418834816664e-05,7.992191967787221e-06
77.129,28.512,1.845763108576648e-05,,1.9895416699000638e-05,3.0407595659198705e-06,4.710786924988497e-07
77.14,28.512,4.475686182559002e-06,,3.331717152832425e-06,8.362724656763021e-06,7.89711884863209e-06
77.15,28.512,3.471327727311291e-05,,5.686260919901542e-06,1.709836215013638e-05,-1.809993932511134e-07
77.161,28.512,1.798745506675914e-05,,9.36113156058127e-06,6.2341837292478886e-06,1.4080177606956568e-05
