longitude,latitude,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-27,2023-09-28,2023-09-29,2023-09-30
76.83291625976568,28.544475282941534,3.97245203203056e-05,2.2711230485583656e-05,,,3.462946551735513e-06,1.898685331980232e-05,2.833941107382998e-05,,1.2842507203458808e-05,1.4088233911024872e-05,1.2462553968362045e-05,,1.1776436622312758e-05,1.3703631339012643e-05,1.0012663551606238e-05,,9.846985449257772e-06,5.904440968151903e-06,7.62473137001507e-05,,1.567406434332952e-05,-1.25598453450948e-05,1.6871472325874493e-05,1.3561591003963258e-05,,6.797405603720108e-06,2.27210512093734e-05,2.741436037467793e-05,8.143206287059002e-07
76.83291625976568,28.55807674952915,2.3622635126230307e-05,1.246583451575134e-05,1.6204248822759837e-05,-8.64040612214012e-06,9.727960787131453e-06,2.1174559151404537e-05,1.9971221263404004e-05,6.811815637774998e-06,4.601051841746084e-06,3.967170778196305e-05,5.592031811829656e-06,1.4230399756343104e-05,8.706810149305966e-06,3.5423622648522723e-06,4.026851456728764e-07,9.558641977491789e-06,,1.2818723917007446e-05,3.3108376555901486e-06,3.4453445550752804e-05,1.0591843420115763e-05,1.5021026229078416e-05,1.1595605428738054e-05,3.3629588870098814e-05,,5.86950000069919e-06,2.60397864622064e-05,9.054936526808888e-06,2.3956150471349247e-05
76.83291625976568,28.57167821611677,-5.151522600499448e-06,,3.456062768236734e-05,5.057828275312204e-06,,2.583833338576369e-05,,7.502593234676169e-06,2.9493119200196816e-06,2.6652845917851664e-05,1.50416917676921e-05,-1.1957982678723056e-05,9.904725629894529e-06,1.3734970707446337e-05,3.399153138161637e-05,,1.2281709132366814e-05,5.008454991184408e-06,3.503009065752849e-05,3.1119092454900965e-05,5.091552156955004e-05,2.128335108864121e-05,3.681923772091977e-05,2.512381615815684e-05,6.465565093094483e-06,7.607335192005848e-06,1.5301216990337707e-05,1.82892272277968e-05,-1.2421019164321478e-06
76.83291625976568,28.585279682704385,,,5.397461336542619e-06,,-6.122564855104429e-07,2.020436295424588e-05,3.53557425114559e-07,,-2.3506929665018106e-06,5.217860234552063e-05,3.505234417389147e-05,1.747374699334614e-05,7.679839654883835e-06,1.904313830891624e-05,9.30845726543339e-06,1.448435887141386e-05,8.98626331036212e-06,1.1558741789485794e-05,2.881930413423106e-06,1.1484738934086636e-05,2.157007656933274e-05,7.733408892818261e-06,1.2660598258662503e-05,1.1747681128326803e-05,1.0287229997629764e-05,7.425452167808544e-06,,3.943428964703344e-05,9.22957497095922e-07
76.83291625976568,28.598881149292,5.836260606884025e-05,3.273364927736111e-05,2.5770072170416825e-05,-1.1101335985586047e-05,1.4886317103446345e-06,1.0894544175243936e-05,5.5297194194281474e-05,-2.789259269775357e-05,9.951019819709472e-06,1.777914985723328e-05,1.6548161511309445e-05,1.9055692973779514e-05,,1.033093394653406e-05,8.09381981525803e-06,1.4155714779917616e-05,1.2138120837335007e-05,4.668491328629898e-06,4.191989864921197e-05,3.219189602532424e-05,1.4732499948877376e-05,2.52409099630313e-05,1.4421934793062974e-05,2.604576002340764e-05,3.1912637496134266e-05,1.06354655144969e-05,-3.272985622970737e-06,7.879526492615696e-06,9.114451131608805e-06
76.83291625976568,28.61248261587961,2.5275161533500068e-05,1.6855396097525954e-05,2.434362431813497e-05,,5.1730830818996765e-06,1.3665284313901792e-05,8.669330782140605e-06,-7.517009521507134e-07,-7.166535397118423e-06,5.960801445326069e-06,1.0191432920692025e-05,5.0620474212337285e-05,8.99726182979066e-06,2.486217454134021e-06,2.0723131456179544e-05,8.348167284566443e-06,3.1153847430687165e-06,4.9367690735380165e-06,3.5712386306840926e-05,6.55374151392607e-07,3.194917610471748e-07,9.970267456083093e-06,1.8782611732603985e-05,2.778875750664156e-05,6.958077847230015e-06,-7.0074584073154256e-06,7.665799785172567e-06,1.9787319615716115e-05,2.10743019124493e-05
76.83291625976568,28.62608408246723,,6.282456524786539e-06,,1.2828696526412386e-05,1.3618217053590342e-05,3.825833846349269e-05,1.0960237887047695e-05,1.1362376426404808e-05,-5.510905339178862e-06,5.501785835804185e-06,4.404731043905485e-06,1.213404357258696e-05,-1.5194507341220742e-06,8.929553587222472e-06,5.236540891928598e-05,1.7728485545376316e-05,-2.977310032292735e-05,,1.0203762030869257e-05,7.277806162164779e-06,6.248331374081317e-06,2.63329889094166e-06,1.9590526790125296e-05,4.43909848399926e-05,1.923275522131007e-05,1.5582625565002672e-05,2.4301811208715662e-05,3.368714897078462e-05,2.8268366804695688e-05
76.83291625976568,28.63968554905485,2.344955828448292e-05,4.295180769986473e-05,4.311156590119936e-05,1.930660801008344e-06,7.131195616238983e-07,2.4050561478361487e-05,,,-3.025883188456646e-06,2.3435493858414706e-05,1.2322461770963857e-05,2.9810153137077577e-05,9.06560217117658e-06,1.7995609596255235e-05,1.443993915017927e-05,5.189194416743703e-05,7.468353942385875e-06,8.898323358152993e-06,2.08276032935828e-05,-3.675941570691066e-06,4.198687020107173e-05,1.0358079634897877e-05,2.045834480668418e-05,2.1886537069804035e-05,1.492387764301384e-05,6.973817107791547e-06,1.3032808055868372e-05,1.942644303198904e-05,1.126404731621733e-05
76.83291625976568,28.653287015642466,,8.086753223324195e-05,,7.329893378482666e-06,3.1326489988714457e-05,1.7950555047718808e-05,3.233616735087708e-05,-1.1514647667354438e-05,1.2223337762407027e-05,2.699640936043579e-05,7.843422281439416e-06,1.941948357853107e-05,1.6993410099530593e-05,8.027389412745833e-06,,6.50911624688888e-06,1.1707005569405735e-06,8.569935744162649e-06,7.08206498529762e-05,4.691682079283055e-06,6.733686859661248e-06,1.190835337183671e-05,7.903904588602018e-06,2.082936589431484e-05,2.1115169147378765e-05,6.181529897730798e-05,2.1168480088817887e-05,1.9196186258341186e-06,1.8664635717868805e-05
76.83291625976568,28.66688848223008,6.457955350924749e-06,,1.9488230464048684e-05,-8.581433576182462e-06,9.814680197450798e-07,1.2670422620431054e-05,5.312738267093664e-06,,-1.0908792319241911e-05,,7.513644504797412e-06,1.3933056834503075e-05,1.0817539987328928e-05,9.183784754895896e-07,3.026606827916112e-05,2.1264955648803152e-05,1.0856345397769472e-05,5.455609425553121e-06,3.783755892072804e-05,2.058160134765785e-06,3.881405791616999e-05,6.595877039217157e-06,1.827434061851818e-05,2.4947032216005027e-05,1.7846725313575007e-05,8.151409019774292e-06,6.372024472511839e-06,9.684221367933787e-06,6.65809375277604e-06
