longitude,latitude,No2_value(mol/m^2)
77.192,28.561,2.020529063884169e-05
77.202,28.561,
77.213,28.561,
77.223,28.561,
77.233,28.561,
77.244,28.561,
77.254,28.561,2.4026387109188363e-05
77.264,28.561,
77.275,28.561,
77.285,28.561,
77.296,28.561,
77.306,28.561,1.0815096175065264e-05
76.849,28.571,7.1334220592689235e-06
76.86,28.571,2.064627733489033e-05
76.87,28.571,
76.88,28.571,-1.1467154763522558e-06
76.891,28.571,1.8425153029966168e-05
76.901,28.571,
76.911,28.571,
76.922,28.571,7.386547167698154e-06
76.932,28.571,1.6330988728441298e-05
76.943,28.571,-1.1345628792014395e-07
76.953,28.571,6.237836259970209e-06
76.963,28.571,-8.581760084780399e-06
76.974,28.571,
76.984,28.571,1.9059692931477912e-05
76.994,28.571,
77.005,28.571,1.4998694496171083e-05
77.015,28.571,8.130644346238114e-06
77.026,28.571,1.1897433978447225e-05
77.036,28.571,2.2143385649542324e-05
77.046,28.571,7.724496754235588e-06
77.057,28.571,7.219728104246315e-06
77.067,28.571,5.132775186211802e-06
77.078,28.571,2.4896085960790515e-05
77.088,28.571,3.268208456574939e-05
77.098,28.571,2.182228308811318e-05
77.109,28.571,8.729802175366785e-06
77.119,28.571,1.878697548818309e-05
77.129,28.571,1.1459098459454253e-05
77.14,28.571,6.871387995488476e-06
77.15,28.571,4.072655883646803e-06
77.161,28.571,
77.171,28.571,2.684171704459004e-05
77.181,28.571,-4.922163498122245e-06
77.192,28.571,8.551220162189566e-06
77.202,28.571,2.548630982346367e-05
77.213,28.571,-2.7685130135068903e-06
77.223,28.571,7.83286213845713e-06
77.233,28.571,
77.244,28.571,2.5059844119823538e-05
77.254,28.571,5.3913045121589676e-06
77.264,28.571,1.3923302503826562e-05
77.275,28.571,
77.285,28.571,-3.796256351051852e-05
77.296,28.571,
76.849,28.58,5.75159947402426e-06
76.86,28.58,
76.87,28.58,8.583205271861516e-06
76.88,28.58,5.8458640523895156e-06
76.891,28.58,
76.901,28.58,3.592822395148687e-06
76.911,28.58,
76.922,28.58,
76.932,28.58,1.5066620107972994e-05
76.943,28.58,
76.953,28.58,-3.2243160603684373e-06
