longitude,latitude,So2_value(mol/m^2),So2_value(mol/m^2)
86.18636260986341,23.836256960605063,,
86.18636260986341,23.957141754475053,0.000780098605901,-7.237678073579445e-05
86.18636260986341,24.078026548345047,,-3.931860555894673e-05
86.18636260986341,24.19891134221504,,4.9513688281876966e-05
86.18636260986341,24.319796136085035,0.0001875722082331,
86.18636260986341,24.440680929955025,-0.0003790104528889,-0.000666887499392
86.18636260986341,24.56156572382502,,-0.0001357940636808
86.18636260986341,24.682450517695013,8.627513307146728e-05,-1.1117194844700862e-05
86.18636260986341,24.803335311565007,-0.0009320661774836,2.2097279725130647e-05
86.18636260986341,24.924220105435,0.0001412242127116,0.000190819351701
86.18636260986341,25.04510489930499,-2.473720815032721e-05,0.0001191502306028
86.18636260986341,25.165989693174986,-0.0001231486239703,0.0001780601305654
86.18636260986341,25.286874487044976,,-0.0002662551123648
86.18636260986341,25.40775928091497,-0.0002194847620557,-4.1067407437367365e-05
86.18636260986341,25.528644074784964,-9.439053974347188e-05,-3.0230792617658157e-05
86.18636260986341,25.649528868654954,2.1039950297563337e-05,0.0002238843881059
86.18636260986341,25.77041366252495,,0.0002546380273997
86.18636260986341,25.891298456394946,,3.969921817770228e-05
86.18636260986341,26.012183250264936,,
86.18636260986341,26.13306804413493,,-0.0013119319919496
86.18636260986341,26.25395283800492,,0.0004728273488581
86.18636260986341,26.374837631874914,-0.000422314973548,0.0001926632830873
86.18636260986341,26.49572242574491,,0.0001509808789705
86.18636260986341,26.6166072196149,,-6.388805923052132e-05
86.18636260986341,26.737492013484893,-0.0007968199788592,-0.0001946738775586
86.18636260986341,26.858376807354887,-7.954724424052984e-05,
86.18636260986341,26.97926160122488,,
86.18636260986341,27.10014639509487,0.0001357117143925,-0.0001693959347903
86.18636260986341,27.221031188964865,-0.0002476938534528,
86.30636260986341,21.539445877075195,-0.0004689047054853,
86.30636260986341,21.66033067094519,0.0001384262868668,-0.0002250644174637
86.30636260986341,21.78121546481518,-3.8941700040595606e-05,2.928133289969992e-05
86.30636260986341,21.902100258685174,0.000167546008015,0.00044811583939
86.30636260986341,22.022985052555168,,0.0001191793271573
86.30636260986341,22.14386984642516,-7.198547336884076e-06,0.0004946362460032
86.30636260986341,22.264754640295152,0.0015798944514244,0.0001688747288426
86.30636260986341,22.385639434165142,-0.0002433656482025,0.0001988603034988
86.30636260986341,22.50652422803514,0.0001935045584104,
86.30636260986341,22.62740902190513,,
86.30636260986341,22.748293815775124,-0.00013257144019,3.2471201848238707e-05
86.30636260986341,22.86917860964512,6.894013495184481e-06,0.0005315653397701
86.30636260986341,22.990063403515112,6.67040076223202e-05,-0.0011136956745758
86.30636260986341,23.110948197385103,,-8.690659888088703e-05
86.30636260986341,23.231832991255096,-0.0001362766051897,4.632447598851286e-05
86.30636260986341,23.35271778512509,-0.0002053103380603,
86.30636260986341,23.473602578995084,-5.762687578680925e-05,-0.0004889362026005
86.30636260986341,23.594487372865075,7.297861156985164e-05,0.0001182585765491
86.30636260986341,23.71537216673507,-0.0004721387231256,-0.0002151405788026
86.30636260986341,23.836256960605063,,-0.0002139432181138
86.30636260986341,23.957141754475053,,7.547669520135969e-05
86.30636260986341,24.078026548345047,-0.0001132156903622,
86.30636260986341,24.19891134221504,0.0001867169485194,0.00025014358107
86.30636260986341,24.319796136085035,,0.0003168470575474
86.30636260986341,24.440680929955025,,0.000240679597482
86.30636260986341,24.56156572382502,,4.361403625807725e-05
86.30636260986341,24.682450517695013,0.000114383532491,
86.30636260986341,24.803335311565007,,3.196515535819344e-05
86.30636260986341,24.924220105435,-0.0001076982734957,
86.30636260986341,25.04510489930499,-0.0002180798037443,0.0001820429024519
