longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2)
76.849,28.561,0.1230958998203277,0.1234880238771438
76.86,28.561,0.1212426647543907,0.1209123134613037
76.87,28.561,0.1219429746270179,0.1398148536682129
76.88,28.561,0.122599720954895,0.1250466555356979
76.891,28.561,0.1214252859354019,0.14029361307621
76.901,28.561,0.1246499344706535,0.1238861083984375
76.911,28.561,0.116979531943798,
76.922,28.561,0.1230955347418785,
76.932,28.561,0.122218519449234,0.1260984241962433
76.943,28.561,0.1221259385347366,0.1288138926029205
76.953,28.561,0.1220331117510795,0.1241136938333511
76.963,28.561,0.1166604906320571,
76.974,28.561,0.1156963929533958,0.1238252073526382
76.984,28.561,0.1217760816216468,0.1272648125886917
76.994,28.561,,0.1262771934270858
77.005,28.561,0.1154034435749054,0.1357519328594207
77.015,28.561,0.1212001740932464,0.1266112923622131
77.026,28.561,0.1235753893852233,0.1236003711819648
77.036,28.561,0.1230369955301284,0.1250094473361969
77.046,28.561,0.1170466840267181,0.1256320476531982
77.057,28.561,0.1241598948836326,0.1246799677610397
77.067,28.561,0.1170536801218986,0.1400927454233169
77.078,28.561,0.1214823946356773,0.1224275454878807
77.088,28.561,0.1164554134011268,0.1245514750480651
77.098,28.561,0.1242679879069328,0.1254345476627349
77.109,28.561,0.1245933100581169,0.1335399001836776
77.119,28.561,0.1226629987359047,0.1250877529382705
77.129,28.561,0.1187742128968238,0.1234475523233413
77.14,28.561,0.118183746933937,0.120932750403881
77.15,28.561,0.1175888329744339,0.122974157333374
77.161,28.561,0.1212545335292816,
77.171,28.561,0.1201119050383567,0.1223834827542305
77.181,28.561,0.1213835105299949,0.1262282878160476
77.192,28.561,0.123659461736679,0.1227394416928291
77.202,28.561,0.120627760887146,0.1270978450775146
77.213,28.561,0.1170497089624404,0.1253594309091568
77.223,28.561,,0.1233792006969451
77.233,28.561,0.1175265163183212,0.1259743422269821
77.244,28.561,0.1194229573011398,
77.254,28.561,0.1164462566375732,0.1365231871604919
77.264,28.561,0.1224971115589141,0.1202847436070442
77.275,28.561,0.1155104041099548,0.1241679713129997
77.285,28.561,0.1228279024362564,
77.296,28.561,0.1234831139445304,0.1223658919334411
77.306,28.561,0.1224414557218551,0.1267901957035064
76.849,28.571,0.1231924369931221,0.1253315508365631
76.86,28.571,0.1223762854933738,0.1265568882226944
76.87,28.571,0.1222855076193809,0.1262096017599105
76.88,28.571,0.1230483278632164,0.1259607374668121
76.891,28.571,0.1190456971526146,0.1356904804706573
76.901,28.571,0.1221179515123367,0.1268947720527649
76.911,28.571,0.1224799305200576,0.1209555566310882
76.922,28.571,0.1226651817560195,0.1225743144750595
76.932,28.571,0.1183733269572258,0.1246915683150291
76.943,28.571,0.1198281496763229,0.1263469159603119
76.953,28.571,0.1169258654117584,0.1213656961917877
76.963,28.571,0.120734266936779,0.1254091709852218
76.974,28.571,,
76.984,28.571,0.1181379333138465,0.1234765574336052
76.994,28.571,0.1237558126449585,0.1224712952971458
77.005,28.571,0.1159374192357063,0.1197112873196601
77.015,28.571,0.1159988343715667,0.1214178577065467
77.026,28.571,0.1167202517390251,0.1236945465207099
77.036,28.571,0.1161288693547248,0.1230532154440879
77.046,28.571,0.1178248673677444,0.124412328004837
77.057,28.571,0.1220922023057937,0.1240707039833068
77.067,28.571,0.1183491200208664,
77.078,28.571,0.1240786015987396,0.1244979798793792
77.088,28.571,0.1208102032542228,0.1237731948494911
77.098,28.571,0.1195564344525337,0.1227236986160278
77.109,28.571,0.1184684634208679,0.124638631939888
77.119,28.571,0.1209142357110977,0.1227345913648605
77.129,28.571,0.1245700865983963,0.1237824708223342
77.14,28.571,0.121463231742382,0.1257274597883224
77.15,28.571,0.1218442916870117,0.1245134994387626
77.161,28.571,0.1218217238783836,
77.171,28.571,0.1177069023251533,0.1227397546172142
77.181,28.571,,0.1228377074003219
77.192,28.571,0.1173509061336517,0.1221399381756782
77.202,28.571,0.1152118444442749,0.1254986077547073
77.213,28.571,0.1192920058965683,0.1232783272862434
77.223,28.571,0.1231751292943954,0.1237836703658104
77.233,28.571,0.1224443316459655,0.1250388622283935
77.244,28.571,0.1164772510528564,0.1369057744741439
77.254,28.571,0.123732216656208,0.1358324587345123
77.264,28.571,0.1232878193259239,
77.275,28.571,,0.1199052482843399
77.285,28.571,0.1238018795847892,0.1392051875591278
77.296,28.571,0.1215888634324073,0.1233701333403587
76.849,28.58,,0.1229562312364578
76.86,28.58,0.1221165731549263,0.1346646696329116
76.87,28.58,0.1176738739013671,0.1244465634226799
76.88,28.58,0.1170306056737899,0.1273821741342544
76.891,28.58,0.1221354976296424,0.1244963556528091
76.901,28.58,0.1221802160143852,0.1254811286926269
76.911,28.58,0.1215308755636215,0.1227358356118202
76.922,28.58,0.1230575442314148,0.1262862980365753
76.932,28.58,0.115471251308918,
76.943,28.58,0.1201320141553878,0.1249763891100883
76.953,28.58,0.1176084280014038,0.1264294534921646
76.963,28.58,0.1228164210915565,0.1186328530311584
76.974,28.58,,0.1258008331060409
76.984,28.58,0.1232133135199546,0.1267888098955154
76.994,28.58,0.1231544986367225,0.1247240155935287
77.005,28.58,0.117409273982048,0.1375850439071655
77.015,28.58,0.122966282069683,0.1245230361819267
77.026,28.58,0.1197799816727638,0.1261130273342132
77.036,28.58,0.1242453753948211,0.1247489526867866
77.046,28.58,0.1173908412456512,0.1375788152217865
77.057,28.58,0.1204163208603859,0.1259897798299789
77.067,28.58,0.1175830513238906,0.1272187232971191
77.078,28.58,0.1218774169683456,0.134239375591278
77.088,28.58,0.1233039796352386,0.1230529323220253
77.098,28.58,0.1154481768608093,0.1230558976531028
77.109,28.58,0.1163318827748298,0.1269402205944061
77.119,28.58,0.1230645924806594,
77.129,28.58,0.118299551308155,0.1353150606155395
77.14,28.58,0.1166764944791793,0.1232521459460258
77.15,28.58,0.1213159039616584,0.1199420392513275
77.161,28.58,0.1225730031728744,
77.171,28.58,0.1243779435753822,0.1259036362171173
77.181,28.58,0.1227478981018066,0.1192511990666389
77.192,28.58,0.1241570711135864,0.1276464313268661
77.202,28.58,0.1166774481534957,0.1238010823726654
77.213,28.58,0.1218327060341835,0.1363433897495269
77.223,28.58,0.1160101145505905,0.1236620396375656
77.233,28.58,0.1233849227428436,0.127416655421257
77.244,28.58,0.119638480246067,0.1308972239494323
77.254,28.58,0.1239644140005111,0.1250507086515426
77.264,28.58,0.117512322962284,0.1261852979660034
77.275,28.58,0.1192417740821838,0.1265659779310226
77.285,28.58,0.121355690062046,0.1386195421218872
77.296,28.58,0.1162789240479469,0.1255101710557937
76.87,28.59,0.1232806369662284,0.1251720041036605
76.88,28.59,,
76.891,28.59,0.1220224723219871,0.1303984373807907
76.901,28.59,0.1164048686623573,0.126983106136322
76.911,28.59,0.1242687180638313,0.121948130428791
76.922,28.59,,0.1232766956090927
76.932,28.59,,
76.943,28.59,0.1233011484146118,0.1225531175732612
76.953,28.59,,0.126681312918663
76.963,28.59,0.1166965290904045,0.1393090486526489
76.974,28.59,0.1212001740932464,0.124598279595375
76.984,28.59,0.1190545260906219,
76.994,28.59,0.1222649663686752,0.1370199024677276
77.005,28.59,0.1234858036041259,0.1187512427568435
77.015,28.59,0.1171670854091644,
77.026,28.59,0.1223704144358635,0.1354962885379791
77.036,28.59,0.117774523794651,0.1244283095002174
77.046,28.59,0.116788774728775,0.1237565949559211
77.057,28.59,0.1174825653433799,0.1254551410675048
77.067,28.59,0.1189399063587188,0.1250657439231872
77.078,28.59,0.1230514645576477,0.1252917349338531
