longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2)
77.171,28.443,0.1189732700586319,,0.121313638985157,0.1270797252655029
77.181,28.443,0.1143461093306541,0.1262893229722976,0.1229621171951294,0.1273037642240524
77.192,28.443,0.1254614144563675,0.1234425231814384,0.1258401870727539,0.1273602694272995
77.202,28.443,0.1288744211196899,0.1207693368196487,0.1191347762942314,0.1264001578092575
77.213,28.443,0.1177275329828262,0.1256140023469925,0.1223287358880043,0.1272237002849578
77.223,28.443,0.1263255625963211,0.1226468160748481,0.1229723319411277,0.1229709908366203
77.233,28.443,0.1285498291254043,,0.1264311969280243,0.1251488775014877
77.244,28.443,0.1198161765933036,0.1241630315780639,0.1228741630911827,0.1242523416876792
77.129,28.453,0.1197248622775077,0.1283113807439804,0.1204644367098808,
77.14,28.453,0.1284999847412109,,0.1204341053962707,0.1252311766147613
77.15,28.453,0.1273006647825241,0.1251882165670395,0.1240011900663375,0.1252810359001159
77.161,28.453,0.1312120258808136,0.1230427175760269,0.124084934592247,0.1241455152630806
77.171,28.453,0.1178561747074127,0.121763065457344,0.1207733750343322,0.1246184781193733
77.181,28.453,0.1251953989267349,0.1268430054187774,0.1173927411437034,0.123376540839672
77.192,28.453,0.1371378302574157,0.130410149693489,0.1236600130796432,0.124101772904396
77.202,28.453,0.127869576215744,,0.1238641068339347,0.1238926649093627
77.213,28.453,0.1162685602903366,0.1375433802604675,0.1207686513662338,0.1240797862410545
77.223,28.453,0.1292164325714111,0.1265413612127304,0.120485633611679,
77.233,28.453,0.117370031774044,0.1215626746416091,,0.1237156018614769
77.119,28.463,0.1149435639381408,0.1224164366722107,0.1255970150232315,0.1249544247984886
77.129,28.463,0.1266467124223709,0.1224978864192962,0.1192977428436279,0.1229022592306137
77.14,28.463,0.1319347918033599,0.1296060383319854,0.1207599565386772,0.1260710507631302
77.15,28.463,0.1368713676929474,,0.1219596713781356,0.1265342533588409
77.161,28.463,0.1158832460641861,,0.1218612641096115,0.1258087456226349
77.171,28.463,0.1247359663248062,0.1237935945391655,0.1227874010801315,0.126263290643692
77.181,28.463,0.1276376992464065,0.1258123815059662,0.123847484588623,0.1256124824285507
77.192,28.463,0.1303399503231048,0.1218320801854133,0.1230427175760269,0.1214492097496986
77.202,28.463,0.1244879961013794,0.1227970123291015,0.1215916946530342,0.1232942417263984
77.213,28.463,0.124340146780014,0.1251778453588485,0.1265216022729873,0.1270929425954818
77.223,28.463,0.1241785138845443,0.1195651069283485,0.1195369884371757,0.125142216682434
77.119,28.473,0.1150885596871376,0.1187046095728874,0.1219349801540374,0.125150129199028
77.129,28.473,0.1148375794291496,0.1258087754249572,0.1233963072299957,
77.14,28.473,0.1307188868522644,0.130367711186409,0.1189259365200996,0.1226617470383644
77.15,28.473,0.1187741756439209,,0.1213817745447158,0.122763380408287
77.161,28.473,0.1322210282087326,,0.1192910969257354,0.1272015869617462
77.171,28.473,0.1251941472291946,0.1248268261551857,0.1231550574302673,0.1278369426727295
77.181,28.473,0.1179456710815429,0.1215132698416709,0.1197038814425468,0.1261321157217025
77.192,28.473,0.1299487501382827,0.1342762261629104,0.127023696899414,0.1194995418190956
77.202,28.473,0.1256071925163269,0.1272695064544677,0.1220500096678733,0.1237329989671707
77.213,28.473,0.1291611790657043,0.1241564080119133,,0.1232854723930358
77.223,28.473,0.1266131401062011,0.1392201334238052,0.1157654374837875,0.1230286285281181
77.233,28.473,0.1207613795995712,0.1190994083881378,0.1263361275196075,
77.119,28.482,0.1213407963514328,0.1230427175760269,0.1195238605141639,0.1238513365387916
77.129,28.482,0.1281014680862426,0.1234419047832489,0.1233556270599365,0.1249955072999
77.14,28.482,0.133243903517723,0.1224867850542068,0.1206614002585411,0.1262842714786529
77.15,28.482,0.1221827417612075,0.1232015863060951,0.1201440393924713,0.1261997371912002
77.161,28.482,0.1328672021627426,0.1220096126198768,0.1215323805809021,0.1272237002849578
77.171,28.482,0.1250422149896621,0.1244231238961219,0.116116777062416,0.125756025314331
77.181,28.482,0.12961246073246,0.1362726986408233,0.1205215156078338,0.1252134442329406
77.192,28.482,0.127107098698616,0.1262392550706863,0.1237769871950149,0.1277031302452087
77.202,28.482,0.1181756108999252,0.1252587586641311,0.1201560348272323,0.1235992237925529
77.213,28.482,0.1222751960158348,0.1259953379631042,0.1212850138545036,0.1273382306098938
77.223,28.482,0.1275940835475921,0.1260246336460113,0.1153514608740806,
77.233,28.482,0.127987265586853,0.1243062913417816,0.1180188655853271,0.1243099123239517
77.244,28.482,0.1312608271837234,0.1293971985578537,0.1241227313876152,0.1257974952459335
77.129,28.492,0.1149641126394271,0.1266195029020309,0.1203536763787269,0.1256784945726394
