longitude,latitude,O3_value(mol/m^2),O3_value(mol/m^2),O3_value(mol/m^2)
77.161,28.473,0.1225674226880073,0.1446310877799987,0.1214343383908271
77.171,28.473,0.1241810843348503,0.1289194226264953,0.1200853660702705
77.181,28.473,0.1183888465166091,0.1254009306430816,0.1310454905033111
77.192,28.473,0.1201712191104888,,0.114943079650402
77.202,28.473,,0.1578518152236938,
77.213,28.473,0.1224646121263504,0.1566908359527588,0.1269047707319259
77.223,28.473,0.1242818757891655,0.1565962433815002,0.1204647496342659
77.233,28.473,0.122806891798973,,0.1175287291407585
77.119,28.482,0.1224418506026268,0.1237274929881095,0.1176817268133163
77.129,28.482,,,0.1234754174947738
77.14,28.482,0.1252221763134002,0.1248188912868499,
77.15,28.482,0.1245695352554321,0.1317992657423019,0.1223834231495857
77.161,28.482,0.1224789544939994,0.1210025399923324,0.1152660176157951
77.171,28.482,0.1200989857316017,0.120249755680561,0.1274924427270889
77.181,28.482,,,0.1266068965196609
77.192,28.482,,0.1398119628429412,0.1127339303493499
77.202,28.482,0.1185435205698013,0.1338932961225509,0.1148071512579917
77.213,28.482,0.1229632422327995,0.130339503288269,0.1247180327773094
77.223,28.482,0.1236572340130806,0.1408763080835342,0.1144103556871414
77.233,28.482,,0.1261014193296432,0.117488108575344
77.244,28.482,,0.1277455389499664,0.1132630780339241
77.129,28.492,,,
77.14,28.492,0.1221415549516677,0.1509066373109817,0.1208316832780838
77.15,28.492,0.1247197091579437,,0.1190700083971023
77.161,28.492,0.1197375580668449,0.1314142793416977,0.1292028427124023
77.171,28.492,0.1246930211782455,0.1254210621118545,0.1180075630545616
77.181,28.492,0.1247216388583183,0.1305093169212341,
77.192,28.492,0.1228668689727783,0.1370352506637573,0.1169308125972747
77.202,28.492,,0.1409696042537689,0.1182581782341003
77.213,28.492,,,0.1161157563328743
77.223,28.492,,,0.1233747452497482
77.233,28.492,0.1280283778905868,0.139704555273056,0.1173989847302436
77.244,28.492,0.1206276193261146,0.1283639073371887,0.1186124086380004
77.254,28.492,0.1232837289571762,,
77.264,28.492,0.1219283044338226,0.1361694633960724,0.1201082244515419
77.275,28.492,0.1250335872173309,0.1341308653354644,0.1288726329803466
77.306,28.492,0.1230966299772262,0.1255254447460174,0.1186948865652084
77.316,28.492,0.1252221167087555,0.1294538676738739,0.1193225234746933
77.327,28.492,0.1217722669243812,0.1271596401929855,0.1174815222620964
76.891,28.502,0.1243018731474876,0.1392284482717514,
77.109,28.502,,0.1295076459646225,
77.119,28.502,,0.1244928538799285,0.1143370941281318
77.129,28.502,0.1216161027550697,0.1311134248971939,0.1152128055691719
77.14,28.502,0.1229828968644142,0.1265778988599777,0.1184839457273483
77.15,28.502,0.1248084604740142,0.1249231323599815,0.1215064376592636
77.161,28.502,0.1230954080820083,0.131050243973732,
77.171,28.502,0.1225339248776435,0.1250458657741546,0.1196531131863594
77.181,28.502,0.1237562224268913,0.1395925879478454,0.1262975633144378
77.192,28.502,0.1198572441935539,0.1400851756334304,0.1266372352838516
77.202,28.502,0.1248356774449348,0.1541669517755508,0.1284451782703399
77.213,28.502,0.1243513971567154,0.1482813060283661,0.1277349144220352
77.223,28.502,0.1199581399559974,0.1287576556205749,0.1166788414120674
77.233,28.502,0.1238391324877739,0.1417206078767776,0.1126101464033126
77.244,28.502,,,0.1148175671696662
77.254,28.502,0.1240906491875648,,
77.264,28.502,0.1226828396320343,0.1426493376493454,0.1153067648410797
77.275,28.502,0.1262453645467758,0.1236601322889328,0.1142776757478714
77.285,28.502,0.1253126859664917,0.1332331001758575,0.1142544522881507
77.296,28.502,0.1214531436562538,,0.1304375231266021
77.306,28.502,0.1224477812647819,0.1261291056871414,
77.316,28.502,0.1213810890913009,0.1374881714582443,0.1191545948386192
77.327,28.502,,,0.1148772314190864
76.891,28.512,0.1210270971059799,,0.1231927201151847
76.901,28.512,0.1203025728464126,0.1280683428049087,0.120642215013504
76.922,28.512,0.1227220296859741,0.1373821198940277,0.1229681149125099
76.932,28.512,,0.1563288271427154,0.1133971288800239
76.943,28.512,0.1241251826286315,0.1562145501375198,0.1151637583971023
76.953,28.512,0.1239783316850662,,0.1161501631140708
76.963,28.512,0.1240630149841308,,0.1167344376444816
77.098,28.512,0.1207411661744117,0.1405569165945053,0.1200280338525772
77.109,28.512,0.1215066686272621,0.1232082843780517,0.115638293325901
77.119,28.512,0.1236397847533226,0.1546095758676529,0.1157746687531471
77.129,28.512,0.1200989857316017,,0.1206384822726249
77.14,28.512,,,0.11818628013134
77.15,28.512,0.1245577558875083,,0.1292886286973953
77.161,28.512,,,0.1216586455702781
77.171,28.512,0.1209886372089386,0.1375270336866378,
77.181,28.512,0.1215604022145271,0.1378549635410308,0.1192722544074058
77.192,28.512,,0.1273862421512603,0.1182925850152969
77.202,28.512,0.1225987151265144,0.1567240059375763,
