longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2)
76.64574615478533,9.756853470435564,1.6086993127828464e-05,1.9732333385036327e-05
76.64574615478533,9.89688078562424,4.7032190195750445e-05,5.657148903992493e-06
76.64574615478533,10.036908100812918,7.018322776275454e-06,1.17858453450026e-05
76.64574615478533,10.176935416001594,1.5406867532874458e-05,3.4126026093872497e-06
76.64574615478533,10.316962731190271,1.2504758160503116e-05,2.8289075544307707e-06
76.64574615478533,10.456990046378948,8.330365744768642e-06,-1.2183585567981936e-05
76.64574615478533,10.597017361567625,2.656417382240761e-05,1.1095485206169542e-05
76.64574615478533,10.737044676756302,3.990839468315244e-05,4.2311280594731215e-06
76.64574615478533,10.877071991944977,,3.747915343410568e-06
76.64574615478533,11.017099307133654,1.6951813449850306e-05,6.913533525221283e-06
76.64574615478533,11.15712662232233,1.029605573421577e-05,1.531874659121968e-05
76.64574615478533,11.297153937511007,,1.6817552022985183e-05
76.64574615478533,11.437181252699684,1.9240611436543983e-05,
76.64574615478533,11.57720856788836,2.412696267128922e-05,8.584337592765223e-06
76.64574615478533,11.717235883077038,,-3.7964139210089343e-06
76.64574615478533,11.857263198265716,3.905261110048741e-06,1.0503968951525168e-05
76.64574615478533,11.997290513454391,1.6078005501185544e-05,8.151238034770358e-06
76.64574615478533,12.137317828643068,4.15141357734683e-06,
76.64574615478533,12.277345143831743,1.3267759868540452e-06,3.536765916578588e-06
76.64574615478533,12.41737245902042,,
76.64574615478533,12.5573997742091,,1.039425001181371e-06
76.64574615478533,12.697427089397774,,
76.64574615478533,12.837454404586452,4.657743374991696e-06,3.6114497561356976e-06
76.64574615478533,12.977481719775128,2.996131115651224e-06,7.239894330268726e-06
76.64574615478533,13.117509034963804,9.72781072050566e-06,3.7678676108043874e-06
76.64574615478533,13.25753635015248,2.011175183724845e-06,9.709141522762366e-06
76.64574615478533,13.397563665341158,1.558935400680639e-05,1.07657642729464e-05
76.64574615478533,13.537590980529837,2.1205531083978716e-05,
76.78574615478533,8.076525688171444,3.1446713819605066e-06,8.651119969727006e-06
76.78574615478533,8.21655300336012,1.5152463674894534e-05,6.9211359914334025e-06
76.78574615478533,8.356580318548797,4.7651133172621485e-06,-3.767616135519347e-06
76.78574615478533,8.496607633737474,,6.116680651757633e-06
76.78574615478533,8.636634948926151,5.69404164707521e-06,
76.78574615478533,8.776662264114828,4.2806259443750605e-05,9.127304565481608e-07
76.78574615478533,8.916689579303505,,-8.320610618284263e-07
76.78574615478533,9.05671689449218,1.8096110579790547e-05,1.636853085074108e-05
76.78574615478533,9.196744209680856,1.4723681488248984e-05,
76.78574615478533,9.336771524869532,1.0187944099016022e-05,6.025974244039389e-07
76.78574615478533,9.47679884005821,6.911851642144029e-07,1.5568533854093403e-05
76.78574615478533,9.616826155246889,6.230007784324698e-06,2.0129566109972075e-05
76.78574615478533,9.756853470435564,7.430230198224308e-06,
76.78574615478533,9.89688078562424,5.275291641737567e-06,
76.78574615478533,10.036908100812918,6.910635761414596e-07,6.600828328373609e-06
76.78574615478533,10.176935416001594,7.097563411662122e-06,1.4468771951214876e-05
76.78574615478533,10.316962731190271,1.3266964742797429e-05,
76.78574615478533,10.456990046378948,6.220086561370408e-06,1.1394379725970794e-05
76.78574615478533,10.597017361567625,1.7500107787782326e-05,1.0205837952526051e-06
76.78574615478533,10.737044676756302,1.2232421795488335e-05,
76.78574615478533,10.877071991944977,1.1212693607376424e-05,
76.78574615478533,11.017099307133654,7.98731252871221e-06,-6.771562652829743e-07
76.78574615478533,11.15712662232233,8.46801049192436e-06,6.118847068137256e-06
76.78574615478533,11.297153937511007,2.723830448303488e-06,
76.78574615478533,11.437181252699684,1.401297140546376e-05,-1.0068353049064172e-06
76.78574615478533,11.57720856788836,,
76.78574615478533,11.717235883077038,5.654637425323017e-05,
76.78574615478533,11.857263198265716,5.149946446181275e-05,-7.2981129051186144e-06
76.78574615478533,11.997290513454391,1.768759648257401e-05,1.0219494470220525e-05
76.78574615478533,12.137317828643068,1.2785922081093304e-05,-2.1322715326732578e-07
76.78574615478533,12.277345143831743,2.4813323761918585e-05,1.1389719475118907e-05
