longitude,latitude,Hcho_value(mol/m^2)
73.4106958007813,21.25204086303716,0.0002510483318474
73.4106958007813,21.446780204773,4.0449336665915325e-05
73.4106958007813,21.64151954650884,0.0002519572735764
73.4106958007813,21.83625888824468,
73.4106958007813,22.03099822998052,5.348811100702733e-05
73.6006958007813,15.60459995269781,7.81207563704811e-05
73.6006958007813,15.79933929443365,4.539630026556552e-05
73.6006958007813,15.99407863616949,-3.084560012212023e-05
73.6006958007813,16.18881797790533,0.0001483888336224
73.6006958007813,16.38355731964117,0.0001255242532351
73.6006958007813,16.57829666137701,
73.6006958007813,16.77303600311285,1.963032218554872e-06
73.6006958007813,16.96777534484869,2.2169029762153517e-05
73.6006958007813,17.16251468658453,
73.6006958007813,17.357254028320366,3.6432255001273006e-05
73.6006958007813,17.551993370056206,9.31863542064093e-05
73.6006958007813,17.746732711792045,0.0001076969419955
73.6006958007813,17.941472053527885,
73.6006958007813,18.136211395263725,
73.6006958007813,18.330950736999565,
73.6006958007813,18.525690078735405,-0.0001598577655386
73.6006958007813,18.720429420471245,-3.53901632479392e-05
73.6006958007813,18.915168762207085,5.251508264336735e-05
73.6006958007813,19.109908103942924,
73.6006958007813,19.304647445678764,
73.6006958007813,19.499386787414604,0.0001154135534306
73.6006958007813,19.694126129150444,7.527219713665545e-05
73.6006958007813,19.88886547088628,
73.6006958007813,20.08360481262212,0.0002517976390663
73.6006958007813,20.27834415435796,-0.000104482351162
73.6006958007813,20.4730834960938,2.611257332318928e-05
73.6006958007813,20.66782283782964,0.0002726154925767
73.6006958007813,20.86256217956548,0.0001592994958627
73.6006958007813,21.05730152130132,
73.6006958007813,21.25204086303716,
73.6006958007813,21.446780204773,0.0005097154062241
73.6006958007813,21.64151954650884,0.0001949638681253
73.6006958007813,21.83625888824468,
73.6006958007813,22.03099822998052,0.0001914978784043
73.7906958007813,15.60459995269781,0.0001016025489661
73.7906958007813,15.79933929443365,8.86653724592179e-05
73.7906958007813,15.99407863616949,5.628339931718074e-05
73.7906958007813,16.18881797790533,0.0001078054556273
73.7906958007813,16.38355731964117,
73.7906958007813,16.57829666137701,0.0001503529638284
73.7906958007813,16.77303600311285,3.834219751297496e-05
73.7906958007813,16.96777534484869,0.0001024576849886
73.7906958007813,17.16251468658453,7.040757918730378e-05
73.7906958007813,17.357254028320366,
73.7906958007813,17.551993370056206,2.7944000976276584e-05
73.7906958007813,17.746732711792045,9.725361451273784e-05
73.7906958007813,17.941472053527885,4.62846874142997e-05
73.7906958007813,18.136211395263725,2.483900243532844e-05
73.7906958007813,18.330950736999565,0.0002094389055855
73.7906958007813,18.525690078735405,
73.7906958007813,18.720429420471245,3.560999539331533e-05
73.7906958007813,18.915168762207085,0.0001796244905563
73.7906958007813,19.109908103942924,7.771538366796449e-05
73.7906958007813,19.304647445678764,0.0002260405599372
73.7906958007813,19.499386787414604,
73.7906958007813,19.694126129150444,6.305427086772397e-05
73.7906958007813,19.88886547088628,0.0001056749097188
73.7906958007813,20.08360481262212,5.133921149536036e-05
73.7906958007813,20.27834415435796,
73.7906958007813,20.4730834960938,0.0005545369931496
73.7906958007813,20.66782283782964,0.000119831507618
73.7906958007813,20.86256217956548,6.997861055424437e-05
73.7906958007813,21.05730152130132,-0.0001933749590534
73.7906958007813,21.25204086303716,
73.7906958007813,21.446780204773,0.0001765040506143
73.7906958007813,21.64151954650884,7.614507921971381e-05
73.7906958007813,21.83625888824468,0.0001738721766741
